group	side	ckey	rawpath	value	site
parity	S4_合同schema	parity	star_detection_config.parity	default="pos";enum=["pos","neg"]	eng/contracts/schemas/phase_config_normalize.schema.json#/star_detection_config/parity
sparse_snr_layer	S4_合同schema	sparse_snr_layer	sparse_snr_layer	default=true	eng/contracts/schemas/phase_config_normalize.schema.json#/sparse_snr_layer
spacing_px	S4_合同schema	sparse_snr_spacing_px	sparse_snr_spacing_px	default=64;minimum=1	eng/contracts/schemas/phase_config_normalize.schema.json#/sparse_snr_spacing_px
pixfrac	S4_合同schema	algorithm_drizzle_pixfrac	algorithm_drizzle_pixfrac	exclusiveMinimum=0;maximum=1	eng/contracts/schemas/phase_config_normalize.schema.json#/algorithm_drizzle_pixfrac
algorithm_psf_model	S4_合同schema	algorithm_psf_model	algorithm_psf_model	enum=["moffat4"]	eng/contracts/schemas/phase_config_normalize.schema.json#/algorithm_psf_model
storage_form	S4_合同schema	storage_form	storage_form	default="archive";enum=["archive","bare","",null]	eng/contracts/schemas/phase_config_normalize.schema.json#/storage_form
^schema_version$	S4_合同schema	^schema_version$	^schema_version$	const="1"	eng/contracts/schemas/phase_config_normalize.schema.json#/then/^schema_version$
^schema_version$	S4_合同schema	^schema_version$	^schema_version$	const="1"	eng/contracts/schemas/phase_config_normalize.schema.json#/else/^schema_version$
schema	S4_合同schema	schema	schema	const="astrocs.pipeline-block/v1"	eng/contracts/schemas/pipeline_block.schema.json#/schema
shape	S4_合同schema	shape	blocks.shape	minimum=1	eng/contracts/schemas/pipeline_block.schema.json#/blocks/items/shape/items
blocks.dtype	S4_合同schema	blocks.dtype	blocks.dtype	enum=["f64","f32","i32","u8"]	eng/contracts/schemas/pipeline_block.schema.json#/blocks/items/dtype
lifecycle	S4_合同schema	lifecycle	blocks.lifecycle	enum=["short","frame","run"]	eng/contracts/schemas/pipeline_block.schema.json#/blocks/items/lifecycle
schema	S4_合同schema	units_schema	units.units_schema	const="astrocs.v6.units/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/units_schema
schema_version	S4_合同schema	schema_version	units.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/schema_version
statement	S4_合同schema	statement	units.quadratic_law.statement	const="variance = signal^2; ivar = 1/variance; Phase3 variance BUNIT = (main HDU signal BUNIT)^2"	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/quadratic_law/statement
freeze_id	S4_合同schema	freeze_id	units.quadratic_law.freeze_id	const="FZ-P3-BUNIT-QUADRATIC"	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/quadratic_law/freeze_id
rule	S4_合同schema	rule	units.bunit_semantics.rule	const="BUNIT 必须量纲可判: (a) 显式含立体角幂次(canonical ADU/sr 与 ADU^2/sr^2); 或 (b) BUNIT=ADU 时 provenance 必须声明 pixel_semantics=surface_brightness + pixel_area_power=-2 + 目标像素面积"	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/rule
freeze_id	S4_合同schema	freeze_id	units.bunit_semantics.freeze_id	const="FZ-BUNIT-SEMANTICS"	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/freeze_id
signal_sb	S4_合同schema	signal_sb	units.bunit_semantics.pixel_area_power_defaults.signal_sb	const=-2	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/signal_sb
sb_variance_out	S4_合同schema	sb_variance_out	units.bunit_semantics.pixel_area_power_defaults.sb_variance_out	const=-4	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/sb_variance_out
sb_ivar_out	S4_合同schema	sb_ivar_out	units.bunit_semantics.pixel_area_power_defaults.sb_ivar_out	const=4	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/sb_ivar_out
flux	S4_合同schema	flux	units.bunit_semantics.pixel_area_power_defaults.flux	const=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/flux
q	S4_合同schema	q	units.bunit_semantics.pixel_area_power_defaults.q	const=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/Q
w_info	S4_合同schema	w_info	units.bunit_semantics.pixel_area_power_defaults.w_info	const=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/W_info
psfsw_robust_weight	S4_合同schema	psfsw_robust_weight	units.bunit_semantics.pixel_area_power_defaults.psfsw_robust_weight	const=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/psfsw_robust_weight
schema	S4_合同schema	signal_schema	signal.signal_schema	const="astrocs.v6.signal/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/signal_schema
schema_version	S4_合同schema	schema_version	signal.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/schema_version
physical_quantity	S4_合同schema	physical_quantity	signal.physical_quantity	const="signal"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/physical_quantity
family	S4_合同schema	product_family	signal.product_family	enum=["phase1_drizzle_surface_brightness","phase2_mosaic_surface_brightness","phase2_mosaic_per_pixel_flux","phase3_plane_surface_brightness","phase3_plane_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/product_family
signal.units	S4_合同schema	signal.units	signal.units	enum=["ADU/sr","ADU","BUNIT(声明)"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/units
semantics	S4_合同schema	pixel_semantics	signal.pixel_semantics	enum=["surface_brightness","integrated_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/pixel_semantics
formula_ref	S4_合同schema	formula_ref	signal.formula_ref	const="S_p = Sum_j B_j a_jp / Sum_j a_jp, B_j = x_j/A_pixel,j"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/formula_ref
construction	S4_合同schema	construction	signal.constant_field_oracle.construction	const="x_j = B0 * A_pixel_j (按面亮度 B0 构造)"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/constant_field_oracle/construction
invariant	S4_合同schema	invariant	signal.constant_field_oracle.invariant	const="S_p = B0 for all pixfrac in (0,1]"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/constant_field_oracle/invariant
tolerance_ref	S4_合同schema	tolerance_ref	signal.constant_field_oracle.tolerance_ref	const="|S_p/B0 - 1| < 1e-3 (沿用, 不自行改容差)"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/constant_field_oracle/tolerance_ref
normalization.kind	S4_合同schema	normalization.kind	signal.normalization.kind	enum=["surface_brightness_preserving","legacy_adrop_forward","column_normalized_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/kind
pixfrac	S4_合同schema	pixfrac	signal.normalization.pixfrac	exclusiveMinimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/pixfrac
flux_conservation_factor	S4_合同schema	flux_conservation_factor	signal.normalization.flux_conservation_factor	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/flux_conservation_factor
representation	S4_合同schema	representation	signal.representation	enum=["map","model","control_points","scalar"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/representation
signal.dtype	S4_合同schema	signal.dtype	signal.dtype	enum=["float32","float64"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/dtype
invalid_policy	S4_合同schema	invalid_policy	signal.invalid_policy	const="nan_or_support_le_0"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/invalid_policy
max_systematic_deviation	S4_合同schema	max_systematic_deviation	signal.degradation.max_systematic_deviation	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/max_systematic_deviation
sampling_coverage	S4_合同schema	sampling_coverage	signal.degradation.sampling_coverage	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/sampling_coverage
model_error	S4_合同schema	model_error	signal.degradation.model_error	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/model_error
residual_gate	S4_合同schema	spatial_residual_gate	signal.degradation.gates.spatial_residual_gate	enum=["pass","fail"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/gates/spatial_residual_gate
flux_bias_loss	S4_合同schema	flux_bias_loss	signal.degradation.gates.power_loss_gate.flux_bias_loss	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/gates/power_loss_gate/flux_bias_loss
variance_loss	S4_合同schema	variance_loss	signal.degradation.gates.power_loss_gate.variance_loss	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/gates/power_loss_gate/variance_loss
detection_power_loss	S4_合同schema	detection_power_loss	signal.degradation.gates.power_loss_gate.detection_power_loss	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/gates/power_loss_gate/detection_power_loss
semantics	S4_合同schema	pixel_semantics	signal.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	signal.pixel_area_power	const=-2	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	signal.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	signal.pixel_area_power	const=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/then/pixel_area_power
schema	S4_合同schema	covariance_schema	covariance.covariance_schema	const="astrocs.v6.covariance/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/covariance_schema
schema_version	S4_合同schema	schema_version	covariance.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/schema_version
propagation	S4_合同schema	propagation	covariance.propagation	const="C_out = R C_in R^T"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/propagation
scalar_form	S4_合同schema	scalar_form	covariance.scalar_form	const="Var(out) = c^T C_in c = Sum_{i,j} c_i c_j [C_in]_{ij}"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/scalar_form
representation	S4_合同schema	representation	covariance.representation	enum=["diagonal_variance","diagonal_variance_plus_correlation_kernel","low_rank_factors","common_master","unavailable"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/representation
operator_descriptor.kind	S4_合同schema	operator_descriptor.kind	covariance.operator_descriptor.kind	enum=["drizzle_forward","phase2_combination","phase3_resample"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/operator_descriptor/kind
reconstructable	S4_合同schema	reconstructable	covariance.operator_descriptor.reconstructable	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/operator_descriptor/reconstructable
variance_from	S4_合同schema	variance_from	covariance.variance_from	enum=["combination_coefficients","linear_combination_coefficients","actual_combination_coefficients"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/variance_from
input_covariance	S4_合同schema	input_covariance	covariance.input_covariance	enum=["provided","declared","unavailable"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/input_covariance
formula	S4_合同schema	authoritative_formula	covariance.surface_gls_normal_equations.authoritative_formula	const="x_hat = (A^T C^-1 A)^-1 A^T C^-1 d"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/surface_gls_normal_equations/authoritative_formula
formula	S4_合同schema	covariance_formula	covariance.surface_gls_normal_equations.covariance_formula	const="Cov(x_hat) = (A^T C^-1 A)^-1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/surface_gls_normal_equations/covariance_formula
correlation_kernel.scale	S4_合同schema	correlation_kernel.scale	covariance.correlation_kernel.scale	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/correlation_kernel/scale
mean_abs_rho	S4_合同schema	mean_abs_rho	covariance.correlation_kernel.rho_summary.mean_abs_rho	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/correlation_kernel/rho_summary/mean_abs_rho
max_abs_rho	S4_合同schema	max_abs_rho	covariance.correlation_kernel.rho_summary.max_abs_rho	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/correlation_kernel/rho_summary/max_abs_rho
rank	S4_合同schema	rank	covariance.low_rank.rank	minimum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/low_rank/rank
is_lower_bound	S4_合同schema	is_lower_bound	covariance.diagonal_approximation.is_lower_bound	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/diagonal_approximation/is_lower_bound
use_for_aperture	S4_合同schema	use_for_aperture	covariance.diagonal_approximation.use_for_aperture	const=false	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/diagonal_approximation/use_for_aperture
deficit_metric.name	S4_合同schema	deficit_metric.name	covariance.diagonal_approximation.deficit_metric.name	const="deficit=(exact-diag)/exact"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/diagonal_approximation/deficit_metric/name
deficit_metric.value	S4_合同schema	deficit_metric.value	covariance.diagonal_approximation.deficit_metric.value	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/diagonal_approximation/deficit_metric/value
approximation.kind	S4_合同schema	approximation.kind	covariance.approximation.kind	enum=["pixel_ivar_degenerate","diagonal_C"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/approximation/kind
metric	S4_合同schema	metric	covariance.approximation.error_gate.metric	const="Var_approx/Var_GLS"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/approximation/error_gate/metric
error_gate.value	S4_合同schema	error_gate.value	covariance.approximation.error_gate.value	minimum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/approximation/error_gate/value
psfsw_boundary.method	S4_合同schema	psfsw_boundary.method	covariance.psfsw_boundary.method	const="propagated_from_composite_coefficients"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/psfsw_boundary/method
variance_from_weight	S4_合同schema	variance_from_weight	covariance.psfsw_boundary.variance_from_weight	const=false	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/psfsw_boundary/variance_from_weight
uses_relative_weight_as_ivar	S4_合同schema	uses_relative_weight_as_ivar	covariance.psfsw_boundary.uses_relative_weight_as_ivar	const=false	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/psfsw_boundary/uses_relative_weight_as_ivar
variance_ratio	S4_合同schema	variance_ratio	covariance.upm_contribution.variance_ratio	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/upm_contribution/variance_ratio
avail	S4_合同schema	avail	covariance.avail	enum=["available","unavailable"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/avail
reason	S4_合同schema	unavailable_reason	covariance.unavailable_reason	enum=["shared_systematic_unrepresentable","input_covariance_missing","correlation_kernel_missing","diagonal_deficit_gate_failed","operator_not_reconstructable"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/unavailable_reason
forbidden_variance_sources	S4_合同schema	forbidden_variance_sources	covariance.forbidden_variance_sources	const=["median_source_snr","median_snr","source_snr_median","support","coverage","fwhm","psf_residual","residual","weight","psfsw_robust_weight","psfsw","effective_psf","source_snr"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/forbidden_variance_sources
plane_decl.units	S4_合同schema	plane_decl.units	covariance.plane_decl.units	enum=["ADU^2","ADU^2/sr^2","sr^2/ADU^2","BUNIT^2","1/BUNIT^2"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/plane_decl/units
plane_decl.dtype	S4_合同schema	plane_decl.dtype	covariance.plane_decl.dtype	enum=["float32","float64"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/plane_decl/dtype
invalid_policy	S4_合同schema	invalid_policy	covariance.plane_decl.invalid_policy	const="nan_or_support_le_0"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/plane_decl/invalid_policy
representation	S4_合同schema	representation	covariance.representation	const="diagonal_variance"	eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/if/representation
schema	S4_合同schema	psf_schema	psf.psf_schema	const="astrocs.v6.psf/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/psf_schema
schema_version	S4_合同schema	schema_version	psf.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/schema_version
normalization_sum_p	S4_合同schema	normalization_sum_p	psf.normalization_sum_p	const=1.0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/normalization_sum_P
normalization_convention	S4_合同schema	normalization_convention	psf.normalization_convention	enum=["integral","peak"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/normalization_convention
representation	S4_合同schema	representation	psf.representation	enum=["analytic","empirical_grid","hybrid"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/representation
representation	S4_合同schema	spatial_representation	psf.spatial_representation	enum=["scalar","model","map","control_points"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/spatial_representation
fwhm.value	S4_合同schema	fwhm.value	psf.fwhm.value	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fwhm/value
fwhm.unit	S4_合同schema	fwhm.unit	psf.fwhm.unit	const="px"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fwhm/unit
role	S4_合同schema	role	psf.fwhm.role	const="diagnostic"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fwhm/role
fit_residual.value	S4_合同schema	fit_residual.value	psf.fit_residual.value	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fit_residual/value
role	S4_合同schema	role	psf.fit_residual.role	const="diagnostic"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fit_residual/role
a_nea.value	S4_合同schema	a_nea.value	psf.a_nea.value	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/a_nea/value
a_nea.unit	S4_合同schema	a_nea.unit	psf.a_nea.unit	const="px^2"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/a_nea/unit
context	S4_合同schema	context	psf.a_nea.context	const="white_noise_only"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/a_nea/context
representation	S4_合同schema	representation	psf.information_kernel.representation	enum=["dense","operator_summary","low_rank"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/information_kernel/representation
representation	S4_合同schema	representation	psf.parameter_covariance.representation	enum=["full","diagonal","low_rank"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/parameter_covariance/representation
schema	S4_合同schema	effective_psf_schema	effective_psf.effective_psf_schema	const="astrocs.v6.effective-psf/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/effective_psf_schema
schema_version	S4_合同schema	schema_version	effective_psf.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/schema_version
definition	S4_合同schema	definition	effective_psf.definition	const="impulse_response_of_combination"	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/definition
family	S4_合同schema	product_family	effective_psf.product_family	enum=["phase1_point_information","phase2_point_source","phase2_surface_brightness","phase2_psfsw_integration","phase3_point_source_flux","phase3_surface_brightness"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/product_family
family	S4_合同schema	formula_family	effective_psf.formula_family	enum=["conventional_coadd","matched_filter_proper_coadd"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/formula_family
normalization	S4_合同schema	normalization	effective_psf.normalization	enum=["peak","integral"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/normalization
values_or_model.kind	S4_合同schema	values_or_model.kind	effective_psf.values_or_model.kind	enum=["values","model"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/values_or_model/kind
fwhm_from_effective.value	S4_合同schema	fwhm_from_effective.value	effective_psf.fwhm_from_effective.value	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/fwhm_from_effective/value
fwhm_from_effective.unit	S4_合同schema	fwhm_from_effective.unit	effective_psf.fwhm_from_effective.unit	const="px"	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/fwhm_from_effective/unit
role	S4_合同schema	role	effective_psf.fwhm_from_effective.role	const="derived_diagnostic"	eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/fwhm_from_effective/role
schema	S4_合同schema	point_information_schema	point_information.point_information_schema	const="astrocs.v6.point-information/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/point_information_schema
schema_version	S4_合同schema	schema_version	point_information.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/schema_version
formula	S4_合同schema	authoritative_formula	point_information.authoritative_formula	const="Q_k=a_k P_k^T C_k^-1 d_k; W_info,k=a_k^2 P_k^T C_k^-1 P_k; F_hat=Q/W; Var(F_hat)=1/W"	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/authoritative_formula
q_combined	S4_合同schema	q_combined	point_information.independent_frame_combination.q_combined	const="Q = Sum_k Q_k"	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/independent_frame_combination/Q_combined
w_combined	S4_合同schema	w_combined	point_information.independent_frame_combination.w_combined	const="W = Sum_k W_info,k"	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/independent_frame_combination/W_combined
formula	S4_合同schema	formula	point_information.white_noise_approximation.formula	const="W_info,k = a_k^2/(sigma_pix,k^2 * A_NEA,k), A_NEA,k = 1/Sum_p P_k,p^2"	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/white_noise_approximation/formula
representation	S4_合同schema	representation	point_information.representation	enum=["map","model","control_points","scalar"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/representation
claims	S4_合同schema	claims	point_information.optimality.claims	enum=["BLUE","max_point_source_snr","min_flux_variance"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/optimality/claims/items
max_systematic_deviation	S4_合同schema	max_systematic_deviation	point_information.degradation.max_systematic_deviation	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/degradation/max_systematic_deviation
sampling_coverage	S4_合同schema	sampling_coverage	point_information.degradation.sampling_coverage	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/degradation/sampling_coverage
model_error	S4_合同schema	model_error	point_information.degradation.model_error	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/degradation/model_error
representation	S4_合同schema	representation	point_information.quantity.representation	enum=["scalar","map","model"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/quantity/representation
schema	S4_合同schema	weight_mode_schema	weight_mode.weight_mode_schema	const="astrocs.v6.weight-mode/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/weight_mode_schema
schema_version	S4_合同schema	schema_version	weight_mode.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/schema_version
weight_mode	S4_合同schema	weight_mode	weight_mode.weight_mode	enum=["point_information","surface_gls","equal","pixel_ivar"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/weight_mode
mode_class	S4_合同schema	mode_class	weight_mode.mode_class	enum=["production","documented_baseline"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/mode_class
deferred_modes_documented	S4_合同schema	deferred_modes_documented	weight_mode.deferred_modes_documented	const=["psf_snr_power"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/deferred_modes_documented
legacy_superseded	S4_合同schema	legacy_superseded	weight_mode.legacy_superseded	const={"0": "support_x_snr2", "1": "equal", "2": "pixel_ivar"}	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/legacy_superseded
legacy_integer_allowed	S4_合同schema	legacy_integer_allowed	weight_mode.legacy_integer_allowed	const=false	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/legacy_integer_allowed
applied_in_combination_coefficients	S4_合同schema	applied_in_combination_coefficients	weight_mode.parameter_effectiveness.applied_in_combination_coefficients	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/parameter_effectiveness/applied_in_combination_coefficients
applied_in_effective_psf	S4_合同schema	applied_in_effective_psf	weight_mode.parameter_effectiveness.applied_in_effective_psf	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/parameter_effectiveness/applied_in_effective_psf
weight_mode	S4_合同schema	weight_mode	weight_mode.weight_mode	enum=["point_information","surface_gls"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/if/weight_mode
mode_class	S4_合同schema	mode_class	weight_mode.mode_class	const="production"	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class
weight_mode	S4_合同schema	weight_mode	weight_mode.weight_mode	enum=["equal","pixel_ivar"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/if/weight_mode
mode_class	S4_合同schema	mode_class	weight_mode.mode_class	const="documented_baseline"	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class
weight_mode	S4_合同schema	weight_mode	weight_mode.weight_mode	const="psfsw_robust"	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/if/weight_mode
mode_class	S4_合同schema	mode_class	weight_mode.mode_class	const="production"	eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class/not
schema	S4_合同schema	psfsw_schema	psfsw.psfsw_schema	const="astrocs.v6.psfsw/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/psfsw_schema
schema_version	S4_合同schema	schema_version	psfsw.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/schema_version
weight_mode	S4_合同schema	weight_mode	psfsw.weight_mode	const="psfsw_robust"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight_mode
weight.kind	S4_合同schema	weight.kind	psfsw.weight.kind	const="psfsw_robust_weight"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/kind
weight.units	S4_合同schema	weight.units	psfsw.weight.units	const="1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/units
group_normalized	S4_合同schema	group_normalized	psfsw.weight.group_normalized	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/group_normalized
scope	S4_合同schema	scope	psfsw.weight.normalization.scope	const="group"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/normalization/scope
median_target	S4_合同schema	median_target	psfsw.weight.normalization.median_target	const=1.0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/normalization/median_target
psfsw.weight	S4_合同schema	psfsw.weight	psfsw.weight	enum=["ivar","inverse_variance","variance","var","sigma","sigma2","fisher","fisher_information","information","w_info","w_psf"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/not
formula_ref	S4_合同schema	formula_ref	psfsw.composite.formula_ref	const="Wt_k = C_norm * S_k^alpha * Conc_k^beta / (N_k^gamma * B_k^delta); W_psfsw,k = Wt_k / median_j(Wt_j)"	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/formula_ref
exponents.alpha	S4_合同schema	exponents.alpha	psfsw.composite.exponents.alpha	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/exponents/alpha
exponents.beta	S4_合同schema	exponents.beta	psfsw.composite.exponents.beta	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/exponents/beta
