符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
A,局部量噪声（不入科学判读）,4,3,.2f | 0.0 | 300.0;3000.0,其他,是,111,ACCEPTANCE_SPEC.md ; ASTROCS_DESIGN.md ; docs/DOCUMENT_INDEX.yaml,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/src/dpsf_psf.cpp:364 ; lib/algorithms/star_detection/test/sdet_fp64_test.cpp:31 ; lib/infrastructure/scheduler/src/module_adapters.cpp:4432 ; lib/infrastructure/scheduler/src/module
ABS_CLIP_FACTOR,残余B·带单位的科学量,1,1,5.0,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1021
ACR_BENCH_HAVE_HWLOC,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/qualification/benchmarks/numa_benchmark.cpp:27
ACR_HAVE_CPU_FEATURES_LIB,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/topology/cpu_features.cpp:18
ACR_HAVE_HWLOC,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/topology/hwloc_topo.cpp:19
ACR_X86_AVX,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx.cpp:8
ACR_X86_AVX2,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx2.cpp:8
ACR_X86_AVX512,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/avx512.cpp:9
ACR_X86_SSE,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cpu/isa/sse.cpp:8
ACS_ABI_MAJOR_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/lifecycle_v1.h:110
ACS_ABI_MINOR_V1,残余B·带单位的科学量,1,1,0u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/lifecycle_v1.h:111
ACS_ABI_PTR_BITS,残余D·语义未明（需读用途）,2,1,32 | 64,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/status_codes.h:76 ; lib/include/astrocs/abi/status_codes.h:78
ACS_ABI_VERSION_V1,残余A·登记面点名但无支撑,2,2,1u,其他,是,6,docs/algorithms/PHASE2_SESSION.md ; docs/api/COMMON_ABI_V1.md ; docs/architecture/abi/ABI_003_SECURE_LOADER.md,不适用（结构性常数，非科学量）,lib/include/astrocs/abi/status_codes.h:87 ; lib/include/astrocs/common_abi_v1.h:16
ACS_ARTIFACT_ABI_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/contracts/artifact_abi_v1.h:28
ACS_CAL_MAX_STACK,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/module_entry.cpp:300
ACS_CAP_ABI_VERSION_V1,残余A·登记面点名但无支撑,1,1,1u,其他,是,1,docs/architecture/cpu/CPU_001_CAPABILITY_PROBE.md,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:40
ACS_CAP_BRAND_MAX,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:41
ACS_CAP_ERR_TEXT_MAX,残余B·带单位的科学量,1,1,160,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:43
ACS_CAP_SCHEMA_VER,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:44
ACS_CAP_VENDOR_MAX,残余B·带单位的科学量,1,1,16,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/common/include/astrocs/cpu/capability_v1.h:42
ACS_CPU_AVX2_KERNEL_COUNT,残余D·语义未明（需读用途）,1,1,2u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h:63
ACS_CPU_AVX2_MAX_IN_SLOTS,残余B·带单位的科学量,1,1,4u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h:64
ACS_CPU_AVX2_MAX_OUT_SLOTS,残余B·带单位的科学量,1,1,2u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h:65
ACS_CPU_AVX2_PARAMS_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h:62
ACS_CPU_AVX512_KERNEL_COUNT,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/avx512/include/astrocs/cpu/avx512_provider_v1.h:75
ACS_CPU_AVX512_MAX_IN_SLOTS,残余B·带单位的科学量,1,1,4u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx512/include/astrocs/cpu/avx512_provider_v1.h:76
ACS_CPU_AVX512_MAX_OUT_SLOTS,残余B·带单位的科学量,1,1,2u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx512/include/astrocs/cpu/avx512_provider_v1.h:77
ACS_CPU_AVX512_PARAMS_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx512/include/astrocs/cpu/avx512_provider_v1.h:74
ACS_CPU_BASELINE_KERNEL_COUNT,残余D·语义未明（需读用途）,1,1,12u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h:64
ACS_CPU_BASELINE_MAX_IN_SLOTS,残余B·带单位的科学量,1,1,4u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h:65
ACS_CPU_BASELINE_MAX_OUT_SLOTS,残余B·带单位的科学量,1,1,2u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h:66
ACS_CPU_BASELINE_PARAMS_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h:63
ACS_DIAG_MAX_UTF8,残余B·带单位的科学量,1,1,4096u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/include/astrocs/abi/lifecycle_v1.h:200
ACS_FIO_ABI_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:27
ACS_FIO_BUNIT_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:32
ACS_FIO_DATASUM_LEN,残余D·语义未明（需读用途）,1,1,16,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:36
ACS_FIO_ERR_TEXT_MAX,残余B·带单位的科学量,1,1,96,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:34
ACS_FIO_HEADER_MAX_CARDS,残余B·带单位的科学量,1,1,1024,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:28
ACS_FIO_KEYWORD_COMMENT_MAX,残余B·带单位的科学量,1,1,72,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:31
ACS_FIO_KEYWORD_NAME_MAX,残余B·带单位的科学量,1,1,9,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:29
ACS_FIO_KEYWORD_VALUE_MAX,残余B·带单位的科学量,1,1,72,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:30
ACS_FIO_NAXIS_MAX,残余B·带单位的科学量,1,1,3,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:35
ACS_FIO_PATH_MAX,残余B·带单位的科学量,1,1,512,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:33
ACS_HIPS_ABI_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:30
ACS_HIPS_ERR_TEXT_MAX,残余B·带单位的科学量,1,1,96,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:37
ACS_HIPS_MAX_FRAME_SCALE_ARCSEC,残余A·登记面点名但无支撑,1,1,824.5167388361774,一般数值,是,1,docs/algorithms/HIPS_WRITER.md,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/aio_hips.h:100
ACS_HIPS_ORDER_MAX,残余B·带单位的科学量,1,1,29,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:31
ACS_HIPS_ORDER_MIN,残余B·带单位的科学量,1,1,0,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:32
ACS_HIPS_PATH_MAX,残余B·带单位的科学量,1,1,1024,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:38
ACS_HIPS_PROP_KEY_MAX,残余B·带单位的科学量,1,1,40,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:34
ACS_HIPS_PROP_MAX,残余B·带单位的科学量,1,1,128,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:36
ACS_HIPS_PROP_VALUE_MAX,残余B·带单位的科学量,1,1,256,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:35
ACS_HIPS_TILE_WIDTH_MAX,残余B·带单位的科学量,1,1,16384,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:33
ACS_REGISTRY_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/pipeline/module_loader/module_registry.h:40
ACS_SECURE_LOADER_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/pipeline/module_loader/secure_loader.h:52
AC_COLSTAT_CONF_HIGH,残余D·语义未明（需读用途）,1,1,3u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:195
AC_COLSTAT_CONF_LOW,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:197
AC_COLSTAT_CONF_MEDIUM,残余D·语义未明（需读用途）,1,1,2u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:196
AC_COLSTAT_EDGE_ONE_SIDED,残余D·语义未明（需读用途）,2,2,4,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:36 ; lib/algorithms/calibration/src/cosmetic_corrector.cpp:290
AC_COLSTAT_FRAME_TOO_SMALL,残余D·语义未明（需读用途）,2,2,2,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:35 ; lib/algorithms/calibration/src/cosmetic_corrector.cpp:289
AC_COLSTAT_MASK_CLEAN,残余D·语义未明（需读用途）,1,1,0,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:49
AC_COLSTAT_MASK_REPAIRED,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:50
AC_COLSTAT_MASK_WIDE,残余D·语义未明（需读用途）,1,1,2,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:51
AC_COLSTAT_MIN_NEIGHBORS,残余B·带单位的科学量,1,1,2,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/cosmetic_corrector.cpp:294
AC_COLSTAT_NO_ANCHOR,残余D·语义未明（需读用途）,2,2,8,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:37 ; lib/algorithms/calibration/src/cosmetic_corrector.cpp:291
AC_COLSTAT_OK,残余D·语义未明（需读用途）,2,2,0,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:33 ; lib/algorithms/calibration/src/cosmetic_corrector.cpp:287
AC_COLSTAT_SCALE_DEGENERATE,残余B·带单位的科学量,2,2,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:34 ; lib/algorithms/calibration/src/cosmetic_corrector.cpp:288
AC_COLSTAT_SRC_BIAS,残余B·带单位的科学量,1,1,4u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:193
AC_COLSTAT_SRC_DARK,残余B·带单位的科学量,1,1,2u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:192
AC_COLSTAT_SRC_SCIENCE,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:191
AC_COMBINE_MEAN,残余A·登记面点名但无支撑,1,1,0,整数/整幂/科学计数,是,1,docs/algorithms/CALIBRATION_ALGORITHMS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:20
AC_COMBINE_MEDIAN,残余A·登记面点名但无支撑,1,1,1,整数/整幂/科学计数,是,2,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/contracts/DATA_SEMANTICS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:21
AC_ERR_INTERNAL,残余A·登记面点名但无支撑,1,1,-3,一般数值,是,4,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md ; docs/contracts/PUBLIC_API.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:29
AC_ERR_MEMORY,残余A·登记面点名但无支撑,1,1,-2,一般数值,是,5,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md ; docs/contracts/PUBLIC_API.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:28
AC_ERR_PARAM,残余A·登记面点名但无支撑,1,1,-1,一般数值,是,7,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md ; docs/contracts/DATA_SEMANTICS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:27
AC_METHOD_BILINEAR,残余A·登记面点名但无支撑,1,1,1,整数/整幂/科学计数,是,3,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md ; docs/contracts/PUBLIC_API.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:24
AC_METHOD_MEDIAN,残余A·登记面点名但无支撑,1,1,0,整数/整幂/科学计数,是,2,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:23
AC_OK,残余A·登记面点名但无支撑,1,1,0,整数/整幂/科学计数,是,6,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md ; docs/contracts/DATA_SEMANTICS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astro_calibration.h:26
ADAPTIVE_MAX_DEPTH,残余B·带单位的科学量,1,1,5,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:394
ADAPTIVE_MIN_CELL_PX,残余B·带单位的科学量,1,1,4.0,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:396
ADAPTIVE_RATIO_THRESH,残余B·带单位的科学量,1,1,1.25,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:395
AIO_ABI_VERSION_V1,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/include/astrocs/io/aio_abi_v1.h:34
AIO_BLOCK_NAME_MAX,残余B·带单位的科学量,1,1,63,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/aio_pipeline.h:67
AIO_BLOCK_REGISTERED_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/aio_pipeline.cpp:148
AIO_BUNIT_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:25
AIO_CACHE_MAX_BLOCKS,残余B·带单位的科学量,1,1,65536,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/aio_pipeline.h:62
AIO_CACHE_MAX_DIMS,残余B·带单位的科学量,1,1,4,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/aio_pipeline.h:63
AIO_CACHE_MAX_STR_LEN,残余B·带单位的科学量,1,1,65535,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/aio_pipeline.h:66
AIO_CACHE_VERSION,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/src/aio_pipeline.cpp:872
AIO_CTYPE_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:21
AIO_DATE_MAX,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:28
AIO_DIGEST_HEX_LEN,残余D·语义未明（需读用途）,1,1,64u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/include/astrocs/io/aio_abi_v1.h:40
AIO_FILTER_MAX,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:23
AIO_FRAME_TYPE_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:24
AIO_HASH_ALGORITHM_SHA256,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/include/astrocs/io/aio_abi_v1.h:39
AIO_HASH_FILE_CHUNK,残余D·语义未明（需读用途）,1,1,32768u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/include/astrocs/io/aio_abi_v1.h:43
AIO_HIPS_DIAG_TILE_VIEW_ABI_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/include/aio_hips.h:79
AIO_HIPS_SNR_POINT_ABI_VERSION,残余B·带单位的科学量,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/include/aio_hips.h:78
AIO_HIPS_TILE_ABI_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/include/aio_hips.h:80
AIO_HIPS_TILE_VIEW_ABI_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/include/aio_hips.h:77
AIO_HIPS_VERIFY_REPORT_ABI_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/aio/include/aio_hips.h:81
AIO_KEYWORD_COMMENT_MAX,残余B·带单位的科学量,1,1,72,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:19
AIO_KEYWORD_NAME_MAX,残余B·带单位的科学量,1,1,72,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:17
AIO_KEYWORD_VALUE_MAX,残余B·带单位的科学量,1,1,72,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:18
AIO_OBJECT_MAX,残余B·带单位的科学量,1,1,128,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:26
AIO_OBSERVAT_MAX,残余B·带单位的科学量,1,1,64,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:27
AIO_PATH_MAX,残余B·带单位的科学量,1,1,512,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:20
AIO_RADESYS_MAX,残余B·带单位的科学量,1,1,32,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/astro_image_io.h:22
AIO_STATUS_COUNT,残余A·登记面点名但无支撑,1,1,.15,小于 1 的小数,是,1,eng/contracts/data/aio_abi_contract_v1.json,无来源（行内字面量，未见文档/文献锚）,lib/include/astrocs/io/aio_abi_v1.h:65
APX_ORDER,残余B·带单位的科学量,1,1,7,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:543
APX_STRIDE,残余D·语义未明（需读用途）,1,1,10,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:544
AP_FIT_ORDER,残余B·带单位的科学量,1,1,5,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:419
ARCSEC_TO_RAD,残余D·语义未明（需读用途）,1,1,180.0;3600.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:85
ARROW_RATIO,残余D·语义未明（需读用途）,1,1,0.1,小于 1 的小数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/widgets/sphere_view.h:109
ASTROCS_ABI_EXPORTS,残余D·语义未明（需读用途）,3,3,1,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/infrastructure/benchmark/cpu/avx2/src/avx2_provider.cpp:59 ; lib/infrastructure/benchmark/cpu/avx512/src/avx512_provider.cpp:59 ; lib/infrastructure/benchmark/cpu/baseline/src/baseline_provider.cp
ASTROCS_BUILD_TESTS,残余D·语义未明（需读用途）,1,1,4.6,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/projection/CMakeLists.txt:29
ASTROCS_CAL_ABI_VERSION,残余D·语义未明（需读用途）,1,1,1u,其他,是,0,,不适用（结构性常数，非科学量）,lib/algorithms/calibration/include/astrocs/calibration/types.h:21
ASTROCS_CAL_CONFIG_SCHEMA_VER,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,不适用（结构性常数，非科学量）,lib/algorithms/calibration/include/astrocs/calibration/types.h:29
ASTROCS_CAL_ECODE_B64_INVALID,残余D·语义未明（需读用途）,1,1,112u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:105
ASTROCS_CAL_ECODE_EXCEPTION,残余D·语义未明（需读用途）,1,1,130u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:107
ASTROCS_CAL_ECODE_EXECUTOR_MISSING,残余D·语义未明（需读用途）,1,1,105u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:102
ASTROCS_CAL_ECODE_LEGACY_REJECT,残余B·带单位的科学量,1,1,120u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:106
ASTROCS_CAL_ECODE_MANIFEST_DIMS,残余D·语义未明（需读用途）,1,1,111u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:104
ASTROCS_CAL_ECODE_MANIFEST_MISSING,残余D·语义未明（需读用途）,1,1,110u,其他,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/types.h:103
