符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
d_max,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_kvector.h:35
d_min,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_kvector.h:34
d_per_thread_cpu_max_seconds,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/monitor.h:101
d_per_thread_cpu_sum_seconds,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/monitor.h:102
d_ref_w,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:291
d_sys_io_wait_seconds,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/monitor.h:105
dark,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,29,ACCEPTANCE_SPEC.md ; ASTROCS_DESIGN.md ; docs/DOCUMENT_INDEX.yaml,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:160
dark_exposure_s,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:37
dark_exptime,残余B·带单位的科学量,2,2,-1.0 | 0.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1006 ; lib/infrastructure/scheduler/src/module_adapters.cpp:2477
dark_k,残余B·带单位的科学量,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:967
dark_mean,残余B·带单位的科学量,2,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1212 ; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1223
dark_opt,残余A·登记面点名但无支撑,2,1,0.1,小于 1 的小数,是,5,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/architecture/execution_inventory.csv ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:8 ; lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:9
dark_photon,残余B·带单位的科学量,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:112 ; lib/algorithms/calibration/src/v6_calibration_covariance.cpp:157
dark_temp,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1007
