符号,细分档,位点数,值样例,登记面,证据/失效详情
angle_tol_deg,A-1 登记面点名但无出处字段,1,5.0,,
apply,A-1 登记面点名但无出处字段,1,.6f,,
area,A-1 登记面点名但无出处字段,8,0.0 | 0.5 | 12.0;4.0 | 4.0,,
background,A-1 登记面点名但无出处字段,3,0.0 | 0.0f,,
background_clip_sigma,A-1 登记面点名但无出处字段,3,0.0;3.0 | 3.0,,
background_contamination_sigma,A-1 登记面点名但无出处字段,3,3.0,,
background_max_contamination,A-1 登记面点名但无出处字段,3,0.20,,
background_min_retained_fraction,A-1 登记面点名但无出处字段,3,0.60,,
background_tolerance,A-1 登记面点名但无出处字段,3,0.0;3.0 | 3.0,,
base,A-1 登记面点名但无出处字段,2,0.0,,
before,A-1 登记面点名但无出处字段,1,0.9,,
below,A-1 登记面点名但无出处字段,1,64.0,,
best,A-1 登记面点名但无出处字段,9,-1.0 | 0.0 | 0.95,,
bias,A-1 登记面点名但无出处字段,2,.3f;.4f;5.0 | 5.0,,
bits,A-1 登记面点名但无出处字段,2,2,,
black,A-1 登记面点名但无出处字段,3,0.0f | 0.0f;0.999f | 0.0f;1.0f,,
block,A-1 登记面点名但无出处字段,3,.2f | 256 | 9.71,,
blocks,A-1 登记面点名但无出处字段,1,.4f,,
bounded,A-1 登记面点名但无出处字段,1,512.0,,
box_sum,A-1 登记面点名但无出处字段,2,0.0,,
bscale,A-1 登记面点名但无出处字段,7,0.0;1.0 | 1.0,,
bzero,A-1 登记面点名但无出处字段,7,0.0 | 0.0;1.0,,
c_est,A-1 登记面点名但无出处字段,1,0.0f,,
calibration.dark_light_exposure_tolerance,A-4 锚失效或不含该值,1,5,eng/packaging/config/defaults.json,docs/science/CALIBRATION.md:19→note:| `dark_total` | 兼容形态：**含 bias** 的暗场母版 `
capped,A-1 登记面点名但无出处字段,5,.1f;.4f | 0.0,,
cd11,A-1 登记面点名但无出处字段,10,0.0 | 3600.0,,
cd12,A-1 登记面点名但无出处字段,6,0.0 | 3600.0,,
cd21,A-1 登记面点名但无出处字段,8,0.0 | 3600.0,,
cd22,A-1 登记面点名但无出处字段,6,0.0 | 3600.0,,
center,A-1 登记面点名但无出处字段,13,+0.5 | .1f;.3f | .2f | .3f;.4f,,
center_dec,A-1 登记面点名但无出处字段,7,0.0 | 0.5 | 3.0,,
center_ra,A-1 登记面点名但无出处字段,7,0.0 | 0.5 | 5.0,,
chi2,A-1 登记面点名但无出处字段,2,0.0,,
chi2_red,A-1 登记面点名但无出处字段,4,0.0,,
chunk,A-1 登记面点名但无出处字段,4,4096,,
clip_sigma,A-1 登记面点名但无出处字段,3,0.0;3.0 | 1.0 | 3.0,,
code,A-1 登记面点名但无出处字段,3,.9;2.5,,
cold_sigma,A-1 登记面点名但无出处字段,2,5.0 | 5.0f,,
color,A-1 登记面点名但无出处字段,1,0.0f,,
components,A-1 登记面点名但无出处字段,1,.2,,
compression,A-1 登记面点名但无出处字段,11,0.0f | 0.0f;1.0f | 0.5f | 0.8f,,
concentration,A-1 登记面点名但无出处字段,2,0.0,,
consistency,A-1 登记面点名但无出处字段,3,0.0 | 1.0,,
const,A-1 登记面点名但无出处字段,19,0,,
constraining_scale_deg,A-1 登记面点名但无出处字段,1,0.0,,
contamination_sigma,A-1 登记面点名但无出处字段,2,0.0;3.0 | 3.0,,
control_ivar,A-1 登记面点名但无出处字段,1,0.0,,
control_reliability,A-1 登记面点名但无出处字段,5,0.0;1.0 | 1.0,,
control_variance,A-1 登记面点名但无出处字段,2,0.0,,
conv,A-1 登记面点名但无出处字段,2,.4f,,
corr,A-1 登记面点名但无出处字段,2,.4f;0.98 | 0.0,,
correct,A-1 登记面点名但无出处字段,1,1.0,,
corrupt,A-1 登记面点名但无出处字段,1,30.4,,
cosmic_clip_sigma,A-1 登记面点名但无出处字段,1,5.0,,
cost,A-1 登记面点名但无出处字段,3,.6f | 0.0,,
count,A-1 登记面点名但无出处字段,3,0 | 1,,
coupling_assembled,A-1 登记面点名但无出处字段,1,0.0,,
covered,A-1 登记面点名但无出处字段,3,0.0,,
covered_area_sr,A-1 登记面点名但无出处字段,1,0.0,,
covok,A-1 登记面点名但无出处字段,2,0.5f,,
cpu_ms,A-1 登记面点名但无出处字段,1,0.0,,
cpu_pct,A-1 登记面点名但无出处字段,2,0.0 | 0.0;100.0,,
cpu_percent,A-1 登记面点名但无出处字段,1,0.0,,
crpix1,A-1 登记面点名但无出处字段,9,0.0 | 0.5 | 1.0 | 512.5,,
crpix2,A-1 登记面点名但无出处字段,6,0.0 | 0.5 | 512.5,,
crpix_x,A-1 登记面点名但无出处字段,4,0.0 | 2.0,,
crpix_y,A-1 登记面点名但无出处字段,4,0.0 | 2.0,,
crval1,A-1 登记面点名但无出处字段,9,0.0 | 10.0;20.0 | 272.886466,,
crval2,A-1 登记面点名但无出处字段,5,-23.253959 | 0.0,,
crval_dec_deg,A-1 登记面点名但无出处字段,1,0.0,,
crval_ra_deg,A-1 登记面点名但无出处字段,1,0.0,,
ctheta,A-1 登记面点名但无出处字段,2,0.0;1.0,,
ctrl_variance_range,A-1 登记面点名但无出处字段,1,0.0,,
d_hi,A-1 登记面点名但无出处字段,1,100.0,,
d_lo,A-1 登记面点名但无出处字段,3,0.0 | 10.0,,
dark,A-1 登记面点名但无出处字段,1,0.0,,
dark_opt,A-1 登记面点名但无出处字段,2,0.1,,
dec0,A-1 登记面点名但无出处字段,6,-1.0;1.0 | 0.0 | 180.0,,
dec0_deg,A-1 登记面点名但无出处字段,1,-1.0;1.0;180.0,,
dec_deg,A-1 登记面点名但无出处字段,6,0.0 | 180.0,,
dec_max,A-1 登记面点名但无出处字段,1,2.0,,
dec_min,A-1 登记面点名但无出处字段,2,-90.0;90.0 | 2.0,,
deficit,A-1 登记面点名但无出处字段,3,0.0,,
delta,A-1 登记面点名但无出处字段,5,0.0 | 1.15 | 1.345,,
denom,A-1 登记面点名但无出处字段,9,0.0 | 1.0 | 1.0;2.0 | 1.0f;2.0f,,
denominator,A-4 锚失效或不含该值,1,0.0,eng/contracts/resource_gate_v1.json,lib/include/astrocs/core/context.h:93→note:// B2-A18 (GAP-06/BASE-F3): 租约授予观测 —— 此前
devices,A-1 登记面点名但无出处字段,5,50.0,,
diag,A-1 登记面点名但无出处字段,3,0.0,,
disc,A-1 登记面点名但无出处字段,4,0.0 | 4.0,,
dist,A-1 登记面点名但无出处字段,1,.2f;.3f;.4,,
dof_eff,A-1 登记面点名但无出处字段,2,0.0,,
double,A-1 登记面点名但无出处字段,1,0.0,,
drizzle_run,A-1 登记面点名但无出处字段,1,.3f,,
drizzle_scale_arcsec,A-1 登记面点名但无出处字段,1,0.0,,
drop_area,A-1 登记面点名但无出处字段,3,0.0,,
duration_ms,A-1 登记面点名但无出处字段,2,-1.0 | 0.0,,
eccentricity,A-1 登记面点名但无出处字段,1,1.0,,
elapsed,A-1 登记面点名但无出处字段,1,.3f,,
elapsed_seconds,A-1 登记面点名但无出处字段,1,0.0,,
ellipticity,A-1 登记面点名但无出处字段,3,0.0 | 0.0;1.0 | 1.0,,
empty,A-1 登记面点名但无出处字段,1,.4f,,
empty_sweep,A-1 登记面点名但无出处字段,1,.3f,,
eps,A-1 登记面点名但无出处字段,3,1e-4 | 1e-9,,
error,A-1 登记面点名但无出处字段,4,.3 | 0.0,,
error_msg,A-1 登记面点名但无出处字段,1,1.4,,
eta_asec,A-1 登记面点名但无出处字段,3,0.0,,
exact,A-1 登记面点名但无出处字段,2,0.0,,
exposure,A-1 登记面点名但无出处字段,1,0.0,,
exposure_s,A-1 登记面点名但无出处字段,2,0.0,,
factor,A-1 登记面点名但无出处字段,3,0.7f;1.35f | 1.0 | 1.0;3.0,,
fill,A-1 登记面点名但无出处字段,1,0.0,,
filter,A-1 登记面点名但无出处字段,1,.1f,,
filter_trans,A-1 登记面点名但无出处字段,1,0.0,,
final_med,A-1 登记面点名但无出处字段,1,0.0f;1.0f,,
finalize,A-1 登记面点名但无出处字段,2,.3f,,
finest,A-1 登记面点名但无出处字段,1,.6f,,
finest_arcsec,A-1 登记面点名但无出处字段,1,0.0,,
finite,A-1 登记面点名但无出处字段,1,.2f;.4f,,
fitRadius,A-1 登记面点名但无出处字段,3,.1 | .1f,,
fits,A-1 登记面点名但无出处字段,1,.4f,,
flat,A-1 登记面点名但无出处字段,1,1.0,,
floor,A-1 登记面点名但无出处字段,1,0.0,,
flux,A-1 登记面点名但无出处字段,23,0.0 | 0.0f | 1 | 2.0;3.0,,
flux_bias,A-1 登记面点名但无出处字段,1,0.0,,
flux_conservation_factor,A-1 登记面点名但无出处字段,6,0.0 | 1.0,,
flux_error,A-1 登记面点名但无出处字段,2,0.0,,
flux_min,A-1 登记面点名但无出处字段,2,.4;.6 | 0.0,,
flux_variance,A-1 登记面点名但无出处字段,1,0.0,,
focal,A-1 登记面点名但无出处字段,1,13.0,,
focal_length,A-1 登记面点名但无出处字段,6,.3f | 0.0,,
focal_mm,A-1 登记面点名但无出处字段,1,1877.0;300.0,,
found,A-1 登记面点名但无出处字段,3,-2147483648.0;2147483647.0 | 0.0,,
fov_diag,A-1 登记面点名但无出处字段,2,0.0 | 2.0;4000.0,,
fov_diag_deg,A-1 登记面点名但无出处字段,1,3600.0,,
fr_init,A-1 登记面点名但无出处字段,1,1.0;2.0,,
frac,A-1 登记面点名但无出处字段,6,0.0 | 1.0,,
frame,A-1 登记面点名但无出处字段,1,.10,,
frame_depth_flux5_adu,A-1 登记面点名但无出处字段,1,0.0,,
frame_depth_m5_mag,A-1 登记面点名但无出处字段,1,0.0,,
frame_med,A-1 登记面点名但无出处字段,1,0.0f;1.0f,,
frame_snr,A-1 登记面点名但无出处字段,2,0.0,,
fwhm,A-1 登记面点名但无出处字段,4,0.0 | 3.0,,
fwhmClipSigma,A-1 登记面点名但无出处字段,6,3.0f,,
fwhm_floor,A-1 登记面点名但无出处字段,1,0.0;0.75,,
fwhm_px,A-1 登记面点名但无出处字段,6,0.0 | 0.5 | 0.5;2.3548,,
fwhm_x,A-1 登记面点名但无出处字段,2,.2f | 0.0f,,
fwhm_y,A-1 登记面点名但无出处字段,1,0.0f,,
gaia_density_ratio,A-1 登记面点名但无出处字段,1,1.5,,
gaia_query_radius_factor,A-1 登记面点名但无出处字段,1,0.55,,
gain,A-1 登记面点名但无出处字段,7,0.0 | 1.0 | 1.5,,
gain_e_per_adu,A-1 登记面点名但无出处字段,5,0.0,,
gated,A-1 登记面点名但无出处字段,1,8.3,,
grid,A-1 登记面点名但无出处字段,2,8,,
grid_origin_x,A-1 登记面点名但无出处字段,1,0.0,,
group_normalized,A-1 登记面点名但无出处字段,1,1.0,,
gs_damping,A-1 登记面点名但无出处字段,5,0.0;1.0 | 0.5 | 1.0,,
guard,A-1 登记面点名但无出处字段,2,0.0 | 1e6,,
half,A-1 登记面点名但无出处字段,6,0.5 | 1.0;2.0 | 2.0,,
halfA,A-1 登记面点名但无出处字段,1,0.5,,
has_saturated,A-1 登记面点名但无出处字段,1,0.0,,
high,A-1 登记面点名但无出处字段,1,2.0,,
hips_version,A-1 登记面点名但无出处字段,2,1.4,,
hot_sigma,A-1 登记面点名但无出处字段,2,5.0 | 5.0f,,
hp_res,A-1 登记面点名但无出处字段,2,.2f;.4f | .4f;.6f,,
hp_res_arcsec,A-1 登记面点名但无出处字段,1,0.0,,
huber_delta,A-1 登记面点名但无出处字段,11,0.0;1.345 | 1.345,,
hull_min_pred,A-1 登记面点名但无出处字段,1,0.0,,
idw_power,A-1 登记面点名但无出处字段,3,2.0,,
img_area,A-1 登记面点名但无出处字段,2,.2f;.5f | 0.0,,
img_area_sqdeg,A-1 登记面点名但无出处字段,2,0.0 | 3600.0,,
