符号,细分档,位点数,值样例,登记面,证据/失效详情
orig_median,A-1 登记面点名但无出处字段,1,0.0,,
out_median,A-1 登记面点名但无出处字段,1,0.0,,
out_scale_factor,A-1 登记面点名但无出处字段,14,1.0,,
out_sigma_residual,A-1 登记面点名但无出处字段,14,0.0,,
output_fp64,A-1 登记面点名但无出处字段,1,0.5,,
over,A-1 登记面点名但无出处字段,1,90.0,,
oversample,A-1 登记面点名但无出处字段,1,0.0;0.5,,
parallel_ok,A-1 登记面点名但无出处字段,1,.3,,
parent,A-1 登记面点名但无出处字段,2,.4f,,
pass,A-1 登记面点名但无出处字段,6,0.0 | 0.01 | 0.5 | 1.0,,
peak,A-1 登记面点名但无出处字段,2,0.0 | 0.0f,,
per_thread_cpu_max_pct,A-1 登记面点名但无出处字段,1,0.0,,
per_thread_cpu_sum_pct,A-1 登记面点名但无出处字段,1,0.0,,
phase,A-1 登记面点名但无出处字段,2,2.0,,
photometry.irls_tolerance_dex,A-4 锚失效或不含该值,1,1e-06,eng/packaging/config/defaults.json,"docs/science/PHOTOMETRY.md:192→source:- `S>0` 时迭代 `max_iter=50, tol=1e-6`；`S=="
photscal,A-1 登记面点名但无出处字段,13,.6f | 0.0 | 1.0,,
photscale_spread_dex,A-1 登记面点名但无出处字段,2,0.0,,
pixel_area,A-1 登记面点名但无出处字段,1,1.0,,
pixel_scale,A-1 登记面点名但无出处字段,1,.3f,,
pixel_size,A-1 登记面点名但无出处字段,1,0.0,,
pixel_um,A-1 登记面点名但无出处字段,2,1.0,,
pixel_variance_in,A-1 登记面点名但无出处字段,1,2,,
pixfrac,A-1 登记面点名但无出处字段,23,.4f;0.0;1.0 | 0.0 | 0.0;1.0 | 0.8,,
plane_a,A-1 登记面点名但无出处字段,1,0.0,,
plow,A-1 登记面点名但无出处字段,1,0.02425,,
power,A-1 登记面点名但无出处字段,2,.2f;2.0,,
prior_sigma,A-1 登记面点名但无出处字段,1,0.0,,
product_version,A-1 登记面点名但无出处字段,1,.1,,
prof_geom_s,A-1 登记面点名但无出处字段,1,0.0,,
prof_transform,A-1 登记面点名但无出处字段,3,0.0,,
progress,A-1 登记面点名但无出处字段,4,-1.0 | .1;0.0,,
proj,A-1 登记面点名但无出处字段,1,.3f;.4f,,
psf_cx,A-1 登记面点名但无出处字段,1,100.0;150.0;50.0,,
psf_valid,A-1 登记面点名但无出处字段,1,0.0;3.0,,
psfsw,A-1 登记面点名但无出处字段,1,0,,
q_adu,A-1 登记面点名但无出处字段,2,1.0,,
q_psf,A-1 登记面点名但无出处字段,1,.4f,,
qe_trans,A-1 登记面点名但无出处字段,1,0.0,,
quad,A-1 登记面点名但无出处字段,1,0.0,,
quantization,A-1 登记面点名但无出处字段,3,0.0 | 12.0,,
query_area_sqdeg,A-1 登记面点名但无出处字段,1,0.0,,
r_local,A-1 登记面点名但无出处字段,2,0.0 | 0.15,,
r_median,A-1 登记面点名但无出处字段,2,0.0 | 0.5,,
ra0_deg,A-1 登记面点名但无出处字段,3,0.0 | 180.0,,
ra_deg,A-1 登记面点名但无出处字段,7,0.0 | 180.0,,
ra_min,A-1 登记面点名但无出处字段,1,2.0,,
radius,A-1 登记面点名但无出处字段,3,.1f | 3.0,,
range,A-1 登记面点名但无出处字段,8,0.0 | 1.0 | 1.0f,,
rank_rtol,A-1 登记面点名但无出处字段,2,0.0,,
rate,A-1 登记面点名但无出处字段,2,100.0f,,
ratio,A-1 登记面点名但无出处字段,12,-1.0;0.0 | 0.0 | 1.0 | 100.0,,
read_noise,A-1 登记面点名但无出处字段,1,0.0,,
read_noise_e,A-1 登记面点名但无出处字段,6,0.0,,
reason,A-1 登记面点名但无出处字段,1,6.3,,
recall,A-1 登记面点名但无出处字段,1,0.0,,
reclaim_frac,A-1 登记面点名但无出处字段,4,-1.0,,
reference_flux,A-1 登记面点名但无出处字段,5,0.0,,
reference_flux_adu,A-1 登记面点名但无出处字段,3,0.0,,
rel_improve,A-1 登记面点名但无出处字段,3,0.0,,
reliability,A-1 登记面点名但无出处字段,2,1.0,,
representable,A-1 登记面点名但无出处字段,1,0.0,,
required,A-1 登记面点名但无出处字段,1,180.0,,
res_deg,A-1 登记面点名但无出处字段,1,3600.0,,
residency,A-1 登记面点名但无出处字段,1,8.3,,
residual_improve_ratio,A-1 登记面点名但无出处字段,3,0.0 | 0.5,,
result,A-1 登记面点名但无出处字段,8,0.0 | 0.0;1.0 | 0.5;255.0 | 1.0;10.0,,
rho_img,A-1 登记面点名但无出处字段,2,0.0,,
rmax,A-1 登记面点名但无出处字段,1,1.0,,
rms_arcsec,A-1 登记面点名但无出处字段,3,.4f | 0.0,,
rms_px,A-1 登记面点名但无出处字段,6,.3f | .4f;0.5 | 0.0,,
rms_weighted,A-1 登记面点名但无出处字段,3,0.0,,
robust,A-1 登记面点名但无出处字段,1,.4f,,
robust_iterations,A-1 登记面点名但无出处字段,1,.6;.6f,,
robust_residual_sigma,A-1 登记面点名但无出处字段,1,0.7316727929211932,,
rotation_deg,A-1 登记面点名但无出处字段,2,0.0,,
roundness,A-1 登记面点名但无出处字段,4,0.01 | 0.9;0.999 | 1.0,,
rs_new,A-1 登记面点名但无出处字段,1,0.0,,
running,A-1 登记面点名但无出处字段,3,0.5 | 0.682689,,
s_factor,A-1 登记面点名但无出处字段,2,-2.0;0.001;3.7172 | -2.0;3.7172,,
s_max,A-1 登记面点名但无出处字段,1,1.10,,
s_min,A-1 登记面点名但无出处字段,1,0.90,,
safety,A-1 登记面点名但无出处字段,2,.1f | 0.0;3.0,,
safety_factor,A-1 登记面点名但无出处字段,2,0.75,,
sampling_coverage,A-1 登记面点名但无出处字段,1,0.0,,
sat_level,A-1 登记面点名但无出处字段,2,0.0,,
sat_threshold,A-1 登记面点名但无出处字段,2,0.0 | 0.0f,,
satrange,A-1 登记面点名但无出处字段,3,0.1 | 0.1f,,
saturation_level,A-1 登记面点名但无出处字段,1,0.0,,
saved,A-1 登记面点名但无出处字段,1,0.0,,
sb_ivar_out,A-1 登记面点名但无出处字段,1,-2,,
sb_variance_out,A-1 登记面点名但无出处字段,1,2,,
scalar_gate.rd,A-4 锚失效或不含该值,1,null,eng/packaging/config/defaults.json,07_noise_snr.md:76→note:
scalar_gate.trend,A-4 锚失效或不含该值,1,null,eng/packaging/config/defaults.json,docs/plugins/algorithms_phase1/07_noise_snr.md:62→note:- PixInsight 官方同样**不把权重存进图像**：校准阶段只把信号/噪
scale,A-1 登记面点名但无出处字段,42,-999.0 | .6 | .6;.6f | 0.0,,
scale_arcsec,A-1 登记面点名但无出处字段,4,0.0 | 3600.0,,
scale_deg_per_px,A-1 登记面点名但无出处字段,1,0.0,,
scale_factor,A-1 登记面点名但无出处字段,3,0.0 | 1.0,,
scale_obs,A-1 登记面点名但无出处字段,3,0.0,,
schema,A-1 登记面点名但无出处字段,2,.3f,,
schema_version,A-1 登记面点名但无出处字段,1,1.1,,
scientific_change,A-1 登记面点名但无出处字段,2,.003 | .005,,
score,A-1 登记面点名但无出处字段,5,.4f | 0.0 | 0.0;1.0 | 1.0,,
second,A-1 登记面点名但无出处字段,3,1.0,,
seconds,A-1 登记面点名但无出处字段,1,.0f,,
seed,A-1 登记面点名但无出处字段,1,0.0,,
sgn_x,A-1 登记面点名但无出处字段,3,-1.0;1.0,,
shared,A-1 登记面点名但无出处字段,1,.4f,,
shared_vertices,A-1 登记面点名但无出处字段,1,1.0,,
shift,A-1 登记面点名但无出处字段,2,2,,
sigma,A-1 登记面点名但无出处字段,22,.10 | .1f;2.0 | .6f | 0.0,,
sigma2,A-1 登记面点名但无出处字段,1,2.3548200450309493,,
sigma_bg,A-1 登记面点名但无出处字段,1,0.0,,
sigma_cal,A-1 登记面点名但无出处字段,1,0.0,,
sigma_cal_rel,A-1 登记面点名但无出处字段,1,.4f;0.2303,,
sigma_d,A-1 登记面点名但无出处字段,3,.1f;.2f;.3f | 1.0 | 1.482602218505602,,
sigma_eff,A-1 登记面点名但无出处字段,3,1.0,,
sigma_floor,A-1 登记面点名但无出处字段,3,0.0,,
sigma_location_se_dex,A-1 登记面点名但无出处字段,1,0.0;1.253,,
sigma_location_se_mag,A-1 登记面点名但无出处字段,3,0.0;2.5 | 2.5,,
sigma_logflux_dex,A-1 登记面点名但无出处字段,2,0.0,,
sigma_lower,A-1 登记面点名但无出处字段,2,4.0,,
sigma_mag,A-1 登记面点名但无出处字段,2,.4f;0.2500;2.5 | 2.5,,
sigma_residual,A-1 登记面点名但无出处字段,18,.1f;.6f | 0.0 | 0.1 | 0.168,,
sigma_residual_dex,A-1 登记面点名但无出处字段,4,0.0,,
sigma_sky_adu,A-1 登记面点名但无出处字段,3,0.0 | 0.7316727929211932,,
sigma_upper,A-1 登记面点名但无出处字段,2,3.0,,
sign,A-1 登记面点名但无出处字段,4,-1.0 | -1.0;1.0 | 1.0,,
signal,A-1 登记面点名但无出处字段,26,0.0 | 0.0f,,
signal_out,A-1 登记面点名但无出处字段,2,0.0,,
signal_sb,A-1 登记面点名但无出处字段,1,1,,
single,A-1 登记面点名但无出处字段,1,1.0;2.0,,
sink,A-1 登记面点名但无出处字段,4,0.0 | 0.0f,,
size,A-1 登记面点名但无出处字段,3,.4f | 4 | 8,,
slot,A-1 登记面点名但无出处字段,2,0.0,,
smoothing_lambda,A-1 登记面点名但无出处字段,3,0.0,,
snr,A-1 登记面点名但无出处字段,14,.3f | 0.0 | 0.0f | 1.0,,
snr_phot,A-1 登记面点名但无出处字段,6,.2f;.4f | 0.0 | 1.0,,
snr_points,A-1 登记面点名但无出处字段,1,.3f,,
snr_psf,A-1 登记面点名但无出处字段,2,.2f;.4f | .6f,,
snr_search_radius_deg,A-1 登记面点名但无出处字段,3,0.05 | 0.0;0.05,,
snr_val,A-1 登记面点名但无出处字段,2,0.0 | 1.0,,
source_commit,A-1 登记面点名但无出处字段,1,.2,,
source_mask_radius_px,A-1 登记面点名但无出处字段,1,10.0,,
span,A-1 登记面点名但无出处字段,3,0.317311 | 0.317311;0.682689 | 0.5,,
sparse_snr.density,A-4 锚失效或不含该值,1,null,eng/packaging/config/defaults.json,07_noise_snr.md:113→note:| `sigma_sky_source` | 含义 | 是否再加 `(RN/g)
spread,A-1 登记面点名但无出处字段,3,0.0,,
st_dev,A-1 登记面点名但无出处字段,2,0.0 | 1.0,,
star_mask_radius_deg,A-1 登记面点名但无出处字段,2,0.012 | 0.0;0.012,,
star_mask_snr_factor,A-1 登记面点名但无出处字段,2,0.0;10.0 | 10.0,,
status,A-1 登记面点名但无出处字段,5,.1f;.2f;.4f | .2f | .2f;.4f | 19.94,,
step,A-1 登记面点名但无出处字段,5,-6.0;6.0 | 0.0 | 0.5 | 2.0;3.14159265359,,
strategy,A-1 登记面点名但无出处字段,1,1.5,,
success,A-1 登记面点名但无出处字段,10,.2f | 0.0 | 5.0 | 50.0,,
sumArea,A-1 登记面点名但无出处字段,2,0.0,,
sumFlux,A-1 登记面点名但无出处字段,2,0.0,,
sumNorm,A-1 登记面点名但无出处字段,2,0.0,,
sumVarNum,A-1 登记面点名但无出处字段,1,0.0,,
sum_w,A-1 登记面点名但无出处字段,6,0.0 | 1.0,,
sup_sum,A-1 登记面点名但无出处字段,1,0.0,,
support,A-1 登记面点名但无出处字段,5,0.0 | 1.0,,
support_power,A-1 登记面点名但无出处字段,9,0.0;1.0 | 1.0,,
support_threshold,A-1 登记面点名但无出处字段,3,0.0,,
system_cpu_pct,A-1 登记面点名但无出处字段,1,0.0,,
target_pixel_area,A-1 登记面点名但无出处字段,3,0.0 | 1.0,,
tau_match,A-1 登记面点名但无出处字段,1,15.0,,
temp,A-1 登记面点名但无出处字段,1,0.0,,
theta,A-1 登记面点名但无出处字段,11,.4f | 0.0f | 0.5 | 1.0,,
threads,A-1 登记面点名但无出处字段,1,.1f,,
threshold,A-1 登记面点名但无出处字段,5,1.482602218505602;2.0 | 1.5;1.5f | 5.0,,
tile_covered,A-1 登记面点名但无出处字段,1,0.0,,
tile_shift,A-1 登记面点名但无出处字段,5,9,,
tiles,A-1 登记面点名但无出处字段,2,.1f,,
timeout_sec,A-1 登记面点名但无出处字段,1,0.0,,
tol,A-1 登记面点名但无出处字段,10,.1f;.2f;.3f | .2f;.6f;4.28 | .2f;4.28 | ,,
tolerance,A-1 登记面点名但无出处字段,5,0.0 | 0.001;0.002,,
tolerance_arcsec,A-1 登记面点名但无出处字段,2,5.0,,
total,A-1 登记面点名但无出处字段,14,.1f | 0.0 | 0.682689 | 12,,
transform,A-1 登记面点名但无出处字段,5,.3f | 0.0;1.0,,
trend,A-1 登记面点名但无出处字段,3,0.0,,
tukey_c,A-1 登记面点名但无出处字段,1,4.685,,
uncertainty,A-1 登记面点名但无出处字段,1,0.0,,
uncertainty_factor,A-1 登记面点名但无出处字段,1,1.0,,
under,A-1 登记面点名但无出处字段,1,0.0,,
upper,A-1 登记面点名但无出处字段,3,.6 | 0.5 | 3.5,,
upper_sigma,A-1 登记面点名但无出处字段,4,3.0,,
val_sum,A-1 登记面点名但无出处字段,1,.9f,,
val_sumsq,A-1 登记面点名但无出处字段,1,.9f,,
valid,A-1 登记面点名但无出处字段,2,0.0 | 0.1;5.0,,
valid_area_fraction,A-1 登记面点名但无出处字段,2,1.0,,
value,A-1 登记面点名但无出处字段,11,0.0 | 1.0 | 1.4 | 100.0,,
varianceValue,A-1 登记面点名但无出处字段,2,0.0f,,
variance_ratio,A-1 登记面点名但无出处字段,1,0.0,,
version,A-1 登记面点名但无出处字段,28,.0;.1;0.1 | .0;1.0 | 1.0 | 1.3,,
vnum,A-1 登记面点名但无出处字段,1,0.0,,
vote,A-1 登记面点名但无出处字段,2,.2f | 100.0,,
w_info,A-1 登记面点名但无出处字段,7,-2 | 0.0,,
wall_ms,A-1 登记面点名但无出处字段,4,0.0,,
want,A-1 登记面点名但无出处字段,2,1000.0;120.0;5000.0 | 1024,,
weight,A-1 登记面点名但无出处字段,1,1.0f,,
weight_mode,A-1 登记面点名但无出处字段,1,9.49,,
weight_value,A-1 登记面点名但无出处字段,4,0.0,,
white,A-1 登记面点名但无出处字段,5,0.001f;1.0f | 0.05f | 0.05f;1.0f | 0.0f;,,
within,A-1 登记面点名但无出处字段,1,1.10,,
wl_sum,A-1 登记面点名但无出处字段,2,.6f | 0.0,,
work_core_seconds,A-1 登记面点名但无出处字段,1,-1.0,,
worker_balance,A-1 登记面点名但无出处字段,1,.1;0.0,,
workers_p50,A-1 登记面点名但无出处字段,3,-1.0 | 0.0 | 0.50,,
workers_peak,A-1 登记面点名但无出处字段,1,0.0,,
worst,A-1 登记面点名但无出处字段,2,0.0,,
wsum,A-1 登记面点名但无出处字段,6,0.0,,
x_hat,A-1 登记面点名但无出处字段,2,0.0,,
xi_asec,A-1 登记面点名但无出处字段,3,0.0,,
zero_anchor_weight,A-1 登记面点名但无出处字段,3,0.0,,
zero_point_mag,A-1 登记面点名但无出处字段,4,0.0,,
zoom,A-1 登记面点名但无出处字段,8,.1f;.2f | 1.0 | 1.0;4.5,,
