类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,ASTROCS_CAL_ECODE_MANIFEST_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:103,110u,未标注,③未见于条文面,
具名,ASTROCS_CAL_ECODE_MANIFEST_DIMS,lib/algorithms/calibration/include/astrocs/calibration/types.h:104,111u,未标注,③未见于条文面,
具名,ASTROCS_CAL_ECODE_B64_INVALID,lib/algorithms/calibration/include/astrocs/calibration/types.h:105,112u,未标注,③未见于条文面,
具名,ASTROCS_CAL_ECODE_LEGACY_REJECT,lib/algorithms/calibration/include/astrocs/calibration/types.h:106,120u,未标注,③未见于条文面,
具名,ASTROCS_CAL_ECODE_EXCEPTION,lib/algorithms/calibration/include/astrocs/calibration/types.h:107,130u,未标注,③未见于条文面,
具名,AC_COLSTAT_OK,lib/algorithms/calibration/src/cosmetic_corrector.cpp:287,0,未标注,③未见于条文面,
具名,AC_COLSTAT_SCALE_DEGENERATE,lib/algorithms/calibration/src/cosmetic_corrector.cpp:288,1,未标注,③未见于条文面,
具名,AC_COLSTAT_FRAME_TOO_SMALL,lib/algorithms/calibration/src/cosmetic_corrector.cpp:289,2,未标注,③未见于条文面,
具名,AC_COLSTAT_EDGE_ONE_SIDED,lib/algorithms/calibration/src/cosmetic_corrector.cpp:290,4,未标注,③未见于条文面,
具名,AC_COLSTAT_NO_ANCHOR,lib/algorithms/calibration/src/cosmetic_corrector.cpp:291,8,未标注,③未见于条文面,
具名,AC_COLSTAT_MIN_NEIGHBORS,lib/algorithms/calibration/src/cosmetic_corrector.cpp:294,2,未标注,③未见于条文面,
具名,sigma_d,lib/algorithms/calibration/src/cosmetic_corrector.cpp:369,1.482602218505602,未标注,②条文有名无值,"docs/contracts/API_CONTRACTS.csv:317 API-collect_candidates,collect_candidates,lib/algorithms/platesolve/cp"
具名,inv,lib/algorithms/calibration/src/cosmetic_corrector.cpp:498,1.0,未标注,③未见于条文面,
具名,thr,lib/algorithms/calibration/src/dark_optimizer.cpp:138,3.0,未标注,③未见于条文面,
具名,GRID,lib/algorithms/calibration/src/dark_optimizer.cpp:147,8,未标注,①条文含值,docs/algorithms/NOISE_ESTIMATION.md:36 grid 8×8 patches
具名,PER_CELL,lib/algorithms/calibration/src/dark_optimizer.cpp:148,1000,未标注,③未见于条文面,
具名,MAX_TOTAL,lib/algorithms/calibration/src/dark_optimizer.cpp:149,50000,未标注,③未见于条文面,
具名,thr,lib/algorithms/calibration/src/dark_optimizer.cpp:285,3.0,未标注,③未见于条文面,
具名,k_sigma,lib/algorithms/calibration/src/master_generator.cpp:76,1.482602218505602,未标注,①条文含值,docs/algorithms/CALIBRATION_ALGORITHMS.md:87 σ    = 1.482602218505602·mad                        # k_sigma [76]
具名,ACS_CAL_MAX_STACK,lib/algorithms/calibration/src/module_entry.cpp:300,64,未标注,③未见于条文面,
具名,kFlatFloor,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:64,0.1,未标注,③未见于条文面,
具名,kSharedDetectionEps,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:66,1e-9,未标注,③未见于条文面,
具名,j_r,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:318,1.0,未标注,③未见于条文面,
具名,ASTROCS_COS_ABI_VERSION,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:23,1u,未标注,③未见于条文面,
具名,ASTROCS_COS_PLAN_VERSION,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:30,1,未标注,③未见于条文面,
具名,ASTROCS_COS_CONFIG_SCHEMA_VER,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:31,1,未标注,③未见于条文面,
具名,kMinOrder,lib/algorithms/coverage/hips_properties.h:24,0,未标注,③未见于条文面,
具名,kHipsTileWidth,lib/algorithms/coverage/hips_properties.h:25,512,未标注,③未见于条文面,
具名,P2_REJECT_CLASS_COUNT,lib/algorithms/coverage/include/astro/phase2/rejection.h:479,7,未标注,③未见于条文面,
具名,P2_REJ_CALIB_BINMIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:497,50u,未标注,③未见于条文面,
具名,P2_REJ_CALIB_ABS,lib/algorithms/coverage/include/astro/phase2/rejection.h:498,0.10,未标注,③未见于条文面,
具名,P2_REJ_CALIB_BSS_MIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:499,0.10,未标注,③未见于条文面,
具名,P2_REJ_PROFILE_MOTION_MIN_PX,lib/algorithms/coverage/include/astro/phase2/rejection.h:504,0.5,未标注,③未见于条文面,
具名,P2_REJ_PROFILE_PSF_ANOMALY_MIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:505,0.2,未标注,③未见于条文面,
具名,P2_REJ_PROFILE_CONTAM_PRIOR,lib/algorithms/coverage/include/astro/phase2/rejection.h:506,0.05,未标注,③未见于条文面,
具名,P2_REJ_PROFILE_OUTLIER_KAPPA,lib/algorithms/coverage/include/astro/phase2/rejection.h:507,4.0,未标注,③未见于条文面,
具名,P2_REJ_PROFILE_BIN_COUNT,lib/algorithms/coverage/include/astro/phase2/rejection.h:508,10u,未标注,③未见于条文面,
具名,P2_SMOOTHING_LAMBDA_AUTO,lib/algorithms/coverage/include/astro/phase2/stage2_common.h:30,0.1,未标注,③未见于条文面,
具名,grid,lib/algorithms/coverage/src/acr_kernels.cpp:148,8,未标注,①条文含值,docs/algorithms/NOISE_ESTIMATION.md:36 grid 8×8 patches
具名,fpmin,lib/algorithms/coverage/src/rejection.cpp:33,1e-300,未标注,③未见于条文面,
具名,m2,lib/algorithms/coverage/src/rejection.cpp:43,2,未标注,③未见于条文面,
具名,mid,lib/algorithms/coverage/src/rejection.cpp:92,0.5,未标注,③未见于条文面,
具名,plow,lib/algorithms/coverage/src/rejection.cpp:125,0.02425,未标注,②条文有名无值,docs/algorithms/PHASE2_REJECTION.md:51 | `plow/phigh` | percentile 判据带分数 | 无量纲（0.2 低 / 0.1 高），带宽 = 分数 × \|med
具名,r2,lib/algorithms/coverage/src/rejection.cpp:152,1.0,未标注,③未见于条文面,
具名,kRcrPi,lib/algorithms/coverage/src/rejection.cpp:173,3.1415926535897932384626434,未标注,③未见于条文面,
具名,total,lib/algorithms/coverage/src/rejection.cpp:752,0.682689,未标注,②条文有名无值,"docs/contracts/unified_object_registry.json:355 ""total"": 7,"
具名,span,lib/algorithms/coverage/src/rejection.cpp:758,0.317311,未标注,②条文有名无值,docs/algorithms/PHASE2_SESSION.md:112 2. **p2_session_validate**（:69-98）：纯读无 IO；span 空/null → PARAM
具名,sigma_new,lib/algorithms/coverage/src/rejection.cpp:1572,1.134,未标注,③未见于条文面,
具名,p,lib/algorithms/coverage/src/rejection.cpp:1776,1.0,未标注,③未见于条文面,
具名,kTileWidth,lib/algorithms/coverage/src/sampler.cpp:76,512,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:47 | cell_side | tile 边长/G=64（kTileWidth=512） | leaf 像素 | sampler.cpp:76/
具名,kTileShift,lib/algorithms/coverage/src/sampler.cpp:77,9,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:106 | kTileWidth/kTileShift | :75-76 | 512×512 tile，shift=log2(512)=9 |
具名,kSnrCatalogMax,lib/algorithms/coverage/src/sampler.cpp:78,1,未标注,②条文有名无值,docs/algorithms/PHASE2_SAMPLER.md:107 | kSnrCatalogMax | :78 | SNR catalogue 上限 65536 |
具名,kControlCorrDefault,lib/algorithms/coverage/src/sampler.cpp:83,1.4,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:108 | kControlCorrDefault | :83 | k_corr 冻结保守默认 1.4 |
具名,kPiHalf,lib/algorithms/coverage/src/sampler.cpp:84,1.57079632679489661923,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:305 - 常数权威：kPiHalf=1.57079632679489661923（:84）；k_corr 默认 1.4（:83）；
具名,w0,lib/algorithms/coverage/src/sampler.cpp:111,1.0,未标注,③未见于条文面,
具名,maxn,lib/algorithms/coverage/src/sampler.cpp:406,1,未标注,③未见于条文面,
具名,leaf_shift,lib/algorithms/coverage/src/sampler.cpp:546,9,未标注,③未见于条文面,
具名,s1,lib/algorithms/coverage/src/sampler.cpp:859,1.482602218505602,未标注,③未见于条文面,
具名,S,lib/algorithms/coverage/src/sampler.cpp:1040,1.482602218505602,未标注,③未见于条文面,
具名,kPi,lib/algorithms/coverage/src/sky_plane.cpp:50,3.14159265358979323846,未标注,③未见于条文面,
具名,kMadToSigma,lib/algorithms/coverage/src/sky_plane.cpp:51,1.482602218505602,未标注,③未见于条文面,
具名,kPiHalf,lib/algorithms/coverage/src/sky_plane.cpp:52,1.57079632679489661923,未标注,①条文含值,docs/algorithms/PHASE2_SAMPLER.md:305 - 常数权威：kPiHalf=1.57079632679489661923（:84）；k_corr 默认 1.4（:83）；
具名,upper,lib/algorithms/coverage/src/sky_plane.cpp:419,0.5,未标注,②条文有名无值,docs/algorithms/PHASE2_MOSAIC_WRITE.md:119 underdetermined_n、sigma lower/upper/max_iterations、chunk 偏移 p0、
具名,c,lib/algorithms/coverage/src/sky_plane.cpp:636,0.5,未标注,③未见于条文面,
具名,c,lib/algorithms/coverage/src/sky_plane.cpp:637,0.5,未标注,③未见于条文面,
具名,support_floor,lib/algorithms/coverage/src/sky_plane.cpp:715,1e-9,未标注,③未见于条文面,
