类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,AIO_DIGEST_HEX_LEN,lib/include/astrocs/io/aio_abi_v1.h:40,64u,未标注,③未见于条文面,
具名,AIO_HASH_FILE_CHUNK,lib/include/astrocs/io/aio_abi_v1.h:43,32768u,未标注,③未见于条文面,
具名,const,lib/include/astrocs/io/io_adapter.h:55,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/include/astrocs/io/io_adapter.h:56,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/include/astrocs/io/io_adapter.h:57,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/include/astrocs/io/io_adapter.h:58,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/include/astrocs/io/io_adapter.h:61,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,kReduceBlocks,lib/infrastructure/acr/backends/classic/classic_kernels.hpp:24,1024,未标注,③未见于条文面,
具名,ACR_X86_AVX,lib/infrastructure/acr/backends/cpu/isa/avx.cpp:8,1,未标注,③未见于条文面,
具名,ACR_X86_AVX2,lib/infrastructure/acr/backends/cpu/isa/avx2.cpp:8,1,未标注,③未见于条文面,
具名,ACR_X86_AVX512,lib/infrastructure/acr/backends/cpu/isa/avx512.cpp:9,1,未标注,③未见于条文面,
具名,ACR_X86_SSE,lib/infrastructure/acr/backends/cpu/isa/sse.cpp:8,1,未标注,③未见于条文面,
具名,kReduceBlocks,lib/infrastructure/acr/backends/cuda/bridge/acr_cuda_bridge_host.cpp:136,256,未标注,③未见于条文面,
具名,block,lib/infrastructure/acr/backends/cuda/cuda_backend.hpp:113,256,未标注,②条文有名无值,"ASTROCS_DESIGN.md:347 E -->|是| BLOCK[""阻断运行，报出全部原因<br/>-y / -yes 不可越过""]"
具名,kCpuDeviceId,lib/infrastructure/acr/core/task_descriptor.hpp:26,0,未标注,③未见于条文面,
具名,kInvalidDeviceId,lib/infrastructure/acr/core/task_descriptor.hpp:27,-1,未标注,③未见于条文面,
具名,kDefaultMinChunk,lib/infrastructure/acr/cost/cost_estimator.hpp:133,1024,未标注,③未见于条文面,
具名,kDefaultRecommendedChunk,lib/infrastructure/acr/cost/cost_estimator.hpp:134,65536,未标注,③未见于条文面,
具名,kMinComputeToLaunchRatio,lib/infrastructure/acr/cost/cost_estimator.hpp:135,10.0,未标注,③未见于条文面,
具名,kTargetComputeRatio,lib/infrastructure/acr/cost/cost_estimator.hpp:136,50.0,未标注,③未见于条文面,
具名,kTransferGainRatio,lib/infrastructure/acr/cost/cost_estimator.hpp:137,0.5,未标注,③未见于条文面,
具名,kCpuFallbackBandwidthGbps,lib/infrastructure/acr/cost/cost_estimator.hpp:138,20.0,未标注,③未见于条文面,
具名,kGpuFallbackBandwidthGbps,lib/infrastructure/acr/cost/cost_estimator.hpp:139,500.0,未标注,③未见于条文面,
具名,kGpuFallbackPcieGbps,lib/infrastructure/acr/cost/cost_estimator.hpp:140,12.0,未标注,③未见于条文面,
具名,kCpuFallbackLaunchNs,lib/infrastructure/acr/cost/cost_estimator.hpp:141,1000.0,未标注,③未见于条文面,
具名,kGpuFallbackLaunchNs,lib/infrastructure/acr/cost/cost_estimator.hpp:142,5000.0,未标注,③未见于条文面,
具名,N,lib/infrastructure/acr/examples/legacy_chunk_adapter.cpp:35,1,未标注,③未见于条文面,
具名,chunk_size,lib/infrastructure/acr/examples/legacy_chunk_adapter.cpp:36,1024,未标注,③未见于条文面,
具名,N,lib/infrastructure/acr/examples/minimal_parallel_for.cpp:26,1,未标注,③未见于条文面,
具名,kWarmup,lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:80,2,未标注,③未见于条文面,
具名,kRepeats,lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:81,5,未标注,③未见于条文面,
具名,kProfileFrames,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:77,16,未标注,③未见于条文面,
具名,kCandidateFrames,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:80,8,未标注,③未见于条文面,
具名,observed_max_in_flight,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:640,1,未标注,③未见于条文面,
具名,mx_pixels,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:932,1,未标注,③未见于条文面,
具名,mx_frames,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:933,8,未标注,③未见于条文面,
具名,kHwCpuDeviceId,lib/infrastructure/acr/include/astro/compute/hardware_profile.hpp:29,0,未标注,③未见于条文面,
具名,kHwInvalidDeviceId,lib/infrastructure/acr/include/astro/compute/hardware_profile.hpp:30,-1,未标注,③未见于条文面,
具名,a,lib/infrastructure/acr/qualification/benchmark_driver.cpp:176,2.0,未标注,③未见于条文面,
具名,a,lib/infrastructure/acr/qualification/benchmark_driver.cpp:193,3.14,未标注,③未见于条文面,
具名,chunk,lib/infrastructure/acr/qualification/benchmark_driver.cpp:230,4096,未标注,②条文有名无值,docs/algorithms/PHASE2_INTEGRATION.md:145 :1141/:1402 → p2_integrate_pixel 三调用点：chunk 并行路径
具名,ks,lib/infrastructure/acr/qualification/benchmark_driver.cpp:282,3,未标注,③未见于条文面,
具名,chunk,lib/infrastructure/acr/qualification/benchmark_driver.cpp:314,4096,未标注,②条文有名无值,docs/algorithms/PHASE2_INTEGRATION.md:145 :1141/:1402 → p2_integrate_pixel 三调用点：chunk 并行路径
具名,max_iter,lib/infrastructure/acr/qualification/benchmark_driver.cpp:457,256,未标注,②条文有名无值,docs/algorithms/CALIBRATION_ALGORITHMS.md:83 F1.3  sigma-clip 迭代 iter=0..max_iter-1 [104-133]:
具名,kMandelbrotMaxIter,lib/infrastructure/acr/qualification/benchmarks/branch_benchmark.cpp:23,256,未标注,③未见于条文面,
具名,ACR_BENCH_HAVE_HWLOC,lib/infrastructure/acr/qualification/benchmarks/numa_benchmark.cpp:27,1,未标注,③未见于条文面,
具名,n,lib/infrastructure/acr/qualification/benchmarks/overhead_benchmark.cpp:94,16,未标注,③未见于条文面,
具名,kThreadCurveN,lib/infrastructure/acr/qualification/benchmarks/thread_curve_benchmark.cpp:24,1,未标注,③未见于条文面,
具名,kUnroll,lib/infrastructure/acr/qualification/benchmarks/transfer_benchmark.cpp:42,8,未标注,③未见于条文面,
具名,kWarmup,lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:21,3,未标注,③未见于条文面,
具名,kRepeats,lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:22,7,未标注,③未见于条文面,
具名,kMedianLimit,lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:341,0.30,未标注,③未见于条文面,
具名,kP95Limit,lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:342,0.60,未标注,③未见于条文面,
具名,chunk,lib/infrastructure/acr/qualification/focused/focused_operations.cpp:132,4096,未标注,②条文有名无值,docs/algorithms/PHASE2_INTEGRATION.md:145 :1141/:1402 → p2_integrate_pixel 三调用点：chunk 并行路径
具名,chunk,lib/infrastructure/acr/qualification/focused/focused_operations.cpp:154,4096,未标注,②条文有名无值,docs/algorithms/PHASE2_INTEGRATION.md:145 :1141/:1402 → p2_integrate_pixel 三调用点：chunk 并行路径
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:60,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:62,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:64,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:66,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:68,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:70,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:72,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,const,lib/infrastructure/acr/scheduler/device_executor.hpp:124,0,未标注,①条文含值,"docs/algorithms/COSMETIC_ALGORITHMS.md:248 - `compute_global_mad(const float*, int, float med)`（:50-54）: 复制"
具名,kBdrCacheMax,lib/infrastructure/acr/scheduler/dispatcher.cpp:216,128,未标注,③未见于条文面,
具名,kMaxAttempts,lib/infrastructure/acr/scheduler/dispatcher.cpp:344,4,未标注,③未见于条文面,
具名,kMaxAttempts,lib/infrastructure/acr/scheduler/dispatcher.cpp:457,4,未标注,③未见于条文面,
具名,kMaxAttempts,lib/infrastructure/acr/scheduler/dispatcher.cpp:1091,4,未标注,③未见于条文面,
具名,kAttemptShift,lib/infrastructure/acr/scheduler/shared_work_pool.hpp:74,2,未标注,③未见于条文面,
具名,ACR_HAVE_CPU_FEATURES_LIB,lib/infrastructure/acr/topology/cpu_features.cpp:18,1,未标注,③未见于条文面,
具名,ACR_HAVE_HWLOC,lib/infrastructure/acr/topology/hwloc_topo.cpp:19,1,未标注,③未见于条文面,
具名,NVML_SUCCESS,lib/infrastructure/acr/utilization/system_metrics.cpp:36,0,未标注,③未见于条文面,
具名,NVML_ERROR_UNINITIALIZED,lib/infrastructure/acr/utilization/system_metrics.cpp:37,2,未标注,③未见于条文面,
具名,NVML_ERROR_NO_PERMISSION,lib/infrastructure/acr/utilization/system_metrics.cpp:38,5,未标注,③未见于条文面,
具名,NVML_ERROR_NOT_FOUND,lib/infrastructure/acr/utilization/system_metrics.cpp:39,7,未标注,③未见于条文面,
具名,NVML_ERROR_NOT_SUPPORTED,lib/infrastructure/acr/utilization/system_metrics.cpp:40,8,未标注,③未见于条文面,
具名,NVML_ERROR_GPU_IS_LOST,lib/infrastructure/acr/utilization/system_metrics.cpp:41,13,未标注,③未见于条文面,
具名,NVML_ERROR_UNKNOWN,lib/infrastructure/acr/utilization/system_metrics.cpp:42,999,未标注,③未见于条文面,
具名,VERSION,lib/infrastructure/aio/include/aio_ahpx_format.h:12,1,未标注,①条文含值,ACCEPTANCE_SPEC.md:271 8. 版本纪律满足（发布版本号取自根 `VERSION` 单源，见 `ASTROCS_DESIGN.md` §13；alpha 阶段前程序与
具名,HEADER_FIXED_SIZE,lib/infrastructure/aio/include/aio_ahpx_format.h:16,18,未标注,③未见于条文面,
具名,AIO_HIPS_TILE_VIEW_ABI_VERSION,lib/infrastructure/aio/include/aio_hips.h:77,1u,未标注,③未见于条文面,
具名,AIO_HIPS_SNR_POINT_ABI_VERSION,lib/infrastructure/aio/include/aio_hips.h:78,1u,未标注,③未见于条文面,
具名,AIO_HIPS_DIAG_TILE_VIEW_ABI_VERSION,lib/infrastructure/aio/include/aio_hips.h:79,1u,未标注,③未见于条文面,
具名,AIO_HIPS_TILE_ABI_VERSION,lib/infrastructure/aio/include/aio_hips.h:80,1u,未标注,③未见于条文面,
具名,AIO_HIPS_VERIFY_REPORT_ABI_VERSION,lib/infrastructure/aio/include/aio_hips.h:81,1u,未标注,③未见于条文面,
具名,ACS_HIPS_MAX_FRAME_SCALE_ARCSEC,lib/infrastructure/aio/include/aio_hips.h:100,824.5167388361774,未标注,①条文含值,"docs/algorithms/HIPS_WRITER.md:219 scale 必须有限且 ∈(0, ACS_HIPS_MAX_FRAME_SCALE_ARCSEC=824.5167388361774″]"
具名,AIO_CACHE_MAX_BLOCKS,lib/infrastructure/aio/include/aio_pipeline.h:62,65536,未标注,③未见于条文面,
具名,AIO_CACHE_MAX_DIMS,lib/infrastructure/aio/include/aio_pipeline.h:63,4,未标注,③未见于条文面,
具名,AIO_CACHE_MAX_STR_LEN,lib/infrastructure/aio/include/aio_pipeline.h:66,65535,未标注,③未见于条文面,
具名,AIO_BLOCK_NAME_MAX,lib/infrastructure/aio/include/aio_pipeline.h:67,63,未标注,③未见于条文面,
具名,AIO_KEYWORD_NAME_MAX,lib/infrastructure/aio/include/astro_image_io.h:17,72,未标注,③未见于条文面,
具名,AIO_KEYWORD_VALUE_MAX,lib/infrastructure/aio/include/astro_image_io.h:18,72,未标注,③未见于条文面,
具名,AIO_KEYWORD_COMMENT_MAX,lib/infrastructure/aio/include/astro_image_io.h:19,72,未标注,③未见于条文面,
具名,AIO_PATH_MAX,lib/infrastructure/aio/include/astro_image_io.h:20,512,未标注,③未见于条文面,
具名,AIO_CTYPE_MAX,lib/infrastructure/aio/include/astro_image_io.h:21,32,未标注,③未见于条文面,
具名,AIO_RADESYS_MAX,lib/infrastructure/aio/include/astro_image_io.h:22,32,未标注,③未见于条文面,
具名,AIO_FILTER_MAX,lib/infrastructure/aio/include/astro_image_io.h:23,64,未标注,③未见于条文面,
具名,AIO_FRAME_TYPE_MAX,lib/infrastructure/aio/include/astro_image_io.h:24,32,未标注,③未见于条文面,
具名,AIO_BUNIT_MAX,lib/infrastructure/aio/include/astro_image_io.h:25,32,未标注,③未见于条文面,
具名,AIO_OBJECT_MAX,lib/infrastructure/aio/include/astro_image_io.h:26,128,未标注,③未见于条文面,
具名,AIO_OBSERVAT_MAX,lib/infrastructure/aio/include/astro_image_io.h:27,64,未标注,③未见于条文面,
具名,AIO_DATE_MAX,lib/infrastructure/aio/include/astro_image_io.h:28,64,未标注,③未见于条文面,
具名,HISS_OK,lib/infrastructure/aio/include/hiss_format.h:241,0,未标注,③未见于条文面,
具名,HISS_ERR_INVALID_ARG,lib/infrastructure/aio/include/hiss_format.h:242,-1,未标注,③未见于条文面,
具名,HISS_ERR_INVALID_STATE,lib/infrastructure/aio/include/hiss_format.h:243,-2,未标注,③未见于条文面,
具名,HISS_ERR_IO,lib/infrastructure/aio/include/hiss_format.h:244,-3,未标注,③未见于条文面,
具名,HISS_ERR_CHECKSUM,lib/infrastructure/aio/include/hiss_format.h:245,-4,未标注,③未见于条文面,
具名,HISS_ERR_FORMAT,lib/infrastructure/aio/include/hiss_format.h:246,-5,未标注,③未见于条文面,
具名,HISS_ERR_UNSUPPORTED,lib/infrastructure/aio/include/hiss_format.h:247,-6,未标注,③未见于条文面,
具名,HISS_ERR_FORMAT_VIOLATION,lib/infrastructure/aio/include/hiss_format.h:249,-8,未标注,③未见于条文面,
具名,HISS_SIGNATURE_SIZE,lib/infrastructure/aio/include/hiss_format.h:258,16,未标注,③未见于条文面,
具名,HISS_SUBBLOCK_DESC_DISK_SIZE,lib/infrastructure/aio/include/hiss_format.h:278,42,未标注,③未见于条文面,
具名,ACS_FIO_ABI_VERSION_V1,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:27,1u,未标注,③未见于条文面,
具名,ACS_FIO_HEADER_MAX_CARDS,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:28,1024,未标注,③未见于条文面,
具名,ACS_FIO_KEYWORD_NAME_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:29,9,未标注,③未见于条文面,
具名,ACS_FIO_KEYWORD_VALUE_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:30,72,未标注,③未见于条文面,
具名,ACS_FIO_KEYWORD_COMMENT_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:31,72,未标注,③未见于条文面,
具名,ACS_FIO_BUNIT_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:32,32,未标注,③未见于条文面,
具名,ACS_FIO_PATH_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:33,512,未标注,③未见于条文面,
具名,ACS_FIO_ERR_TEXT_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:34,96,未标注,③未见于条文面,
具名,ACS_FIO_NAXIS_MAX,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:35,3,未标注,③未见于条文面,
具名,ACS_FIO_DATASUM_LEN,lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:36,16,未标注,③未见于条文面,
具名,ACS_HIPS_ABI_VERSION_V1,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:30,1u,未标注,③未见于条文面,
具名,ACS_HIPS_ORDER_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:31,29,未标注,③未见于条文面,
具名,ACS_HIPS_ORDER_MIN,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:32,0,未标注,③未见于条文面,
具名,ACS_HIPS_TILE_WIDTH_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:33,16384,未标注,③未见于条文面,
具名,ACS_HIPS_PROP_KEY_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:34,40,未标注,③未见于条文面,
具名,ACS_HIPS_PROP_VALUE_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:35,256,未标注,③未见于条文面,
具名,ACS_HIPS_PROP_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:36,128,未标注,③未见于条文面,
具名,ACS_HIPS_ERR_TEXT_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:37,96,未标注,③未见于条文面,
具名,ACS_HIPS_PATH_MAX,lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:38,1024,未标注,③未见于条文面,
具名,startPos,lib/infrastructure/aio/src/ahpx/aio_ahpx_reader.cpp:66,0,未标注,③未见于条文面,
具名,HEADER_READ_MAX,lib/infrastructure/aio/src/ahpx/aio_ahpx_reader.cpp:239,16,未标注,③未见于条文面,
具名,O_DIRECTORY,lib/infrastructure/aio/src/aio_atomic_file.h:50,0,未标注,③未见于条文面,
具名,z,lib/infrastructure/aio/src/aio_file_io.h:185,0,未标注,③未见于条文面,
具名,FITS_BLOCK_SIZE,lib/infrastructure/aio/src/aio_fits.cpp:28,2880,未标注,③未见于条文面,
具名,FITS_CARD_SIZE,lib/infrastructure/aio/src/aio_fits.cpp:29,80,未标注,③未见于条文面,
具名,def,lib/infrastructure/aio/src/aio_fits.cpp:386,0.0,未标注,③未见于条文面,
具名,AIO_BLOCK_REGISTERED_MAX,lib/infrastructure/aio/src/aio_pipeline.cpp:148,32,未标注,③未见于条文面,
具名,AIO_CACHE_VERSION,lib/infrastructure/aio/src/aio_pipeline.cpp:872,1,未标注,③未见于条文面,
具名,kDenseHeaderBytes,lib/infrastructure/aio/src/aio_upm.cpp:40,512,未标注,③未见于条文面,
具名,tile_shift,lib/infrastructure/aio/src/aio_upm.cpp:524,9,未标注,①条文含值,docs/algorithms/HEALPIX_MAPPING.md:25 tile_shift=9；mask=(1<<18)-1；nested_local_to_xy 单调。
具名,XISF_MAX_XML_HEADER_BYTES,lib/infrastructure/aio/src/aio_xisf.cpp:29,64,未标注,③未见于条文面,
具名,XISF_MAX_DIM,lib/infrastructure/aio/src/aio_xisf.cpp:33,65535,未标注,③未见于条文面,
具名,def,lib/infrastructure/aio/src/aio_xisf.cpp:383,0.0,未标注,③未见于条文面,
具名,N_LEAVES,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:41,49152,未标注,③未见于条文面,
具名,LEAF_INDEX_SIZE,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:42,49152,未标注,③未见于条文面,
具名,ZSTD_LEVEL,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:45,5,未标注,②条文有名无值,"docs/contracts/API_CONTRACTS.csv:79 API-aio_ahpx_write,aio_ahpx_write,lib/infrastructure/aio/include/astro"
具名,HCSD_MAX_JSON_BYTES,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:51,64,未标注,③未见于条文面,
具名,HIO_OK,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:54,0,未标注,③未见于条文面,
具名,HIO_ERR_PARAM,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:55,-1,未标注,③未见于条文面,
具名,HIO_ERR_FILE,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:56,-2,未标注,③未见于条文面,
具名,HIO_ERR_MAGIC,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:57,-3,未标注,③未见于条文面,
具名,HIO_ERR_ZSTD,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:58,-4,未标注,③未见于条文面,
具名,HIO_ERR_JSON,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:59,-5,未标注,③未见于条文面,
具名,HIO_ERR_MEM,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:60,-6,未标注,③未见于条文面,
具名,HIO_ERR_BOUNDS,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:61,-7,未标注,③未见于条文面,
具名,HIO_ERR_INTERNAL,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:64,-8,未标注,③未见于条文面,
具名,kPi,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:339,3.14159265358979323846,未标注,③未见于条文面,
具名,kMaxHCsdNPix,lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:1662,12,未标注,③未见于条文面,
具名,order_uniq_base,lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:294,4,未标注,③未见于条文面,
具名,kSide,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:742,64,未标注,③未见于条文面,
具名,kShift,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:744,12,未标注,③未见于条文面,
具名,kPerAxis,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:746,512,未标注,③未见于条文面,
具名,nside_k,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:960,1,未标注,①条文含值,docs/algorithms/HIPS_WRITER.md:164 A_cell_k=4π/(12·nside_k²)；cell 归一 signal=Σflux/Σarea、
具名,A_cell_k,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:961,4.0,未标注,②条文有名无值,docs/algorithms/HIPS_WRITER.md:164 A_cell_k=4π/(12·nside_k²)；cell 归一 signal=Σflux/Σarea、
具名,n,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:979,512,未标注,③未见于条文面,
具名,nside_k,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:980,1,未标注,①条文含值,docs/algorithms/HIPS_WRITER.md:164 A_cell_k=4π/(12·nside_k²)；cell 归一 signal=Σflux/Σarea、
具名,A_cell_k,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:981,4.0,未标注,②条文有名无值,docs/algorithms/HIPS_WRITER.md:164 A_cell_k=4π/(12·nside_k²)；cell 归一 signal=Σflux/Σarea、
具名,shift,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1112,2,未标注,①条文含值,docs/algorithms/PHASE2_COVERAGE.md:62 `lib/algorithms/shared/healpix/healpix_core.h:40-48` 的 `tile_width = 2
具名,shift,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1137,2,未标注,①条文含值,docs/algorithms/PHASE2_COVERAGE.md:62 `lib/algorithms/shared/healpix/healpix_core.h:40-48` 的 `tile_width = 2
具名,npix_order,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1274,12,未标注,③未见于条文面,
具名,n,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1279,512,未标注,③未见于条文面,
具名,zsh,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1422,2,未标注,③未见于条文面,
具名,npix_order,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1494,12,未标注,③未见于条文面,
具名,n,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1499,512,未标注,③未见于条文面,
具名,zsh,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1638,2,未标注,③未见于条文面,
具名,npix_order,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1686,12,未标注,③未见于条文面,
具名,n,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1698,512,未标注,③未见于条文面,
具名,A_cell,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:2809,4.0,未标注,②条文有名无值,docs/algorithms/DRIZZLE_GEOMETRY.md:73 :1629；**绝对球面面积**，非无量纲覆盖分数；support = D_p/A_cell 无量纲，语义不变）。
具名,n,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:2820,512,未标注,③未见于条文面,
具名,kZstdDefaultLevel,lib/infrastructure/aio/src/hiss_codec.cpp:115,3,未标注,③未见于条文面,
具名,eps,lib/infrastructure/aio/src/hiss_common.cpp:146,1e-4,未标注,③未见于条文面,
具名,kGridSpecSize,lib/infrastructure/aio/src/hiss_reader.cpp:75,24,未标注,③未见于条文面,
具名,kTileHeaderSize,lib/infrastructure/aio/src/hiss_reader.cpp:79,15,未标注,③未见于条文面,
具名,kTlvHeaderSize,lib/infrastructure/aio/src/hiss_reader.cpp:82,7,未标注,③未见于条文面,
具名,kPi,lib/infrastructure/aio/src/hiss_reader.cpp:148,3.14159265358979323846,未标注,③未见于条文面,
具名,kTwoPi,lib/infrastructure/aio/src/hiss_reader.cpp:149,2.0,未标注,③未见于条文面,
具名,kTwoThirds,lib/infrastructure/aio/src/hiss_reader.cpp:151,2.0,未标注,③未见于条文面,
具名,element_size,lib/infrastructure/aio/src/hiss_reader.cpp:289,1,未标注,③未见于条文面,
具名,HISS_TILE_DIR_PREFIX_SIZE,lib/infrastructure/aio/src/hiss_stream_writer.cpp:65,15,未标注,③未见于条文面,
具名,HISS_TLV_HEADER_SIZE,lib/infrastructure/aio/src/hiss_stream_writer.cpp:68,7,未标注,③未见于条文面,
具名,COPY_BUF_SIZE,lib/infrastructure/aio/src/hiss_stream_writer.cpp:80,4,未标注,③未见于条文面,
具名,room,lib/infrastructure/aio/v6/src/v6_fits.cpp:78,80,未标注,③未见于条文面,
具名,offset,lib/infrastructure/aio/v6/src/v6_fits.cpp:133,0,未标注,①条文含值,docs/contracts/DATA_ARTIFACTS.md:35 | DATA-P2-REJ-001 | Phase2 rejection 产品 nused/nrej + 逐样本接受掩码 sample_ma
具名,kBenchWarmup,lib/infrastructure/benchmark/backend_host/bench_report.h:40,3,未标注,③未见于条文面,
具名,kBenchSamples,lib/infrastructure/benchmark/backend_host/bench_report.h:41,7,未标注,③未见于条文面,
具名,kMadMedianRelMax,lib/infrastructure/benchmark/backend_host/bench_report.h:42,0.35,未标注,③未见于条文面,
具名,W,lib/infrastructure/benchmark/backend_host/profile_gen.cpp:104,512,未标注,③未见于条文面,
具名,kOracleRelTol,lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:55,2e-4,未标注,③未见于条文面,
具名,nnz,lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:241,3,未标注,③未见于条文面,
