r_px,az_deg,ra_deg,dec_deg,v0,rec1,oracle,seg_per_leaf
2.0000,157.5,223.99994079,89.99988889,1.045408e-03,8.766569e-08,1.503568e-15,469.5
2.0000,180.0,246.50000000,89.99988889,5.273524e-04,1.189940e-08,6.443872e-16,469.8
2.0000,202.5,269.00005921,89.99988889,8.591815e-16,8.591815e-16,6.443861e-16,469.2
2.0000,225.0,291.50000000,89.99988889,6.444001e-16,4.296001e-16,2.148000e-16,469.6
2.0000,247.5,313.99994079,89.99988889,1.045408e-03,8.766569e-08,2.577545e-15,469.5
2.0000,270.0,336.50000000,89.99988889,5.273524e-04,1.189940e-08,8.591829e-16,469.7
2.0000,292.5,359.00005921,89.99988889,6.443861e-16,6.443861e-16,1.288772e-15,469.3
2.0000,315.0,21.50000000,89.99988889,2.148000e-16,2.148000e-16,4.296001e-16,469.6
2.0000,337.5,43.99994079,89.99988889,1.045408e-03,8.766569e-08,0.000000e+00,469.5
4.0000,0.0,66.50000000,89.99977778,5.989485e-05,8.801499e-08,5.155077e-15,338.5
4.0000,22.5,89.00000462,89.99977778,1.503584e-15,1.288786e-15,8.591907e-16,342.0
4.0000,45.0,111.50000000,89.99977778,5.989617e-05,8.801692e-08,2.147996e-16,342.7
4.0000,67.5,133.99999538,89.99977778,6.443930e-16,4.295953e-16,4.295953e-16,335.1
4.0000,90.0,156.50000000,89.99977778,5.989485e-05,8.801499e-08,4.081103e-15,335.8
4.0000,112.5,179.00000462,89.99977778,8.591907e-16,6.443930e-16,4.295953e-16,337.4
4.0000,135.0,201.50000000,89.99977778,5.989617e-05,8.801692e-08,0.000000e+00,338.3
4.0000,157.5,223.99999538,89.99977778,6.443930e-16,1.073988e-15,1.288786e-15,335.1
4.0000,180.0,246.50000000,89.99977778,5.989485e-05,8.801499e-08,5.155077e-15,335.5
4.0000,202.5,269.00000463,89.99977778,1.503584e-15,1.933179e-15,1.288786e-15,336.5
4.0000,225.0,291.50000000,89.99977778,5.989617e-05,8.801692e-08,4.295992e-16,337.1
4.0000,247.5,313.99999538,89.99977778,1.073988e-15,2.147977e-16,2.362774e-15,335.1
4.0000,270.0,336.50000000,89.99977778,5.989485e-05,8.801498e-08,1.718359e-15,335.3
4.0000,292.5,359.00000462,89.99977778,2.362774e-15,3.007167e-15,1.503584e-15,336.1
4.0000,315.0,21.50000000,89.99977778,5.989617e-05,8.801692e-08,2.792395e-15,336.6
4.0000,337.5,43.99999538,89.99977778,1.073988e-15,2.147977e-15,1.933179e-15,335.1
8.0000,0.0,66.50000000,89.99955556,2.692959e-05,2.946776e-08,7.517928e-15,231.8
