dx,dy,adrop,sum_prod,sum_a0,rel_prod,rel_a0,bitdiff_leaves
-7.50,0.00,9.401812e-13,9.401812187812e-13,9.401812187813e-13,1.0675e-13,2.3628e-15,0
-7.50,0.50,9.401810e-13,9.401810345030e-13,9.401810345030e-13,1.1492e-13,3.7375e-14,0
-7.50,1.00,9.401824e-13,9.402282821153e-13,9.402282821154e-13,4.8771e-05,4.8771e-05,0
-7.50,1.50,9.401743e-13,9.402314019146e-13,9.402314019147e-13,6.0788e-05,6.0788e-05,0
-7.50,2.00,9.401737e-13,9.401737127332e-13,9.401737127333e-13,1.1041e-13,2.1480e-14,0
-7.50,2.50,9.401680e-13,9.402301161890e-13,9.402301161891e-13,6.6070e-05,6.6070e-05,0
-7.50,3.00,9.401675e-13,9.401675072422e-13,9.401675072423e-13,1.0869e-13,2.4058e-14,0
-7.50,3.50,9.401752e-13,9.402292838188e-13,9.402292838189e-13,5.7567e-05,5.7567e-05,0
-7.50,4.00,9.401743e-13,9.401742570284e-13,9.401742570284e-13,1.0504e-13,4.1456e-14,0
-7.50,4.50,9.401760e-13,9.402173285350e-13,9.402173285350e-13,4.3969e-05,4.3969e-05,0
-7.50,5.00,9.401813e-13,9.401812821961e-13,9.401812821962e-13,8.5489e-14,1.3532e-14,0
-7.50,5.50,9.401799e-13,9.401798643808e-13,9.401798643809e-13,1.2480e-13,3.0931e-14,0
-7.50,6.00,9.401784e-13,9.402030144949e-13,9.402030144951e-13,2.6209e-05,2.6209e-05,0
-7.50,6.50,9.401842e-13,9.401842356643e-13,9.401842356643e-13,9.1074e-14,2.6205e-14,0
-7.50,7.00,9.401756e-13,9.401857050367e-13,9.401857050367e-13,1.0735e-05,1.0735e-05,0
-7.50,7.50,9.401743e-13,9.401844343644e-13,9.401844343644e-13,1.0735e-05,1.0735e-05,0
-7.50,8.00,9.401728e-13,9.401728426821e-13,9.401728426823e-13,1.2995e-13,2.0406e-14,0
-7.00,-8.00,9.401742e-13,9.401919908341e-13,9.401919908341e-13,1.8950e-05,1.8950e-05,0
-7.00,-7.50,9.401756e-13,9.401857050291e-13,9.401857050292e-13,1.0735e-05,1.0735e-05,0
-7.00,-7.00,9.401771e-13,9.401770724258e-13,9.401770724258e-13,9.8592e-14,5.3700e-14,0
-7.00,-6.50,9.401773e-13,9.401773176904e-13,9.401773176905e-13,9.5370e-14,2.4917e-14,0
-7.00,-6.00,9.401800e-13,9.401759322770e-13,9.401759322771e-13,4.2916e-06,4.2916e-06,0
-7.00,-5.50,9.401719e-13,9.401718618004e-13,9.401718618004e-13,1.0955e-13,2.1695e-14,0
-7.00,-5.00,9.401834e-13,9.401833941366e-13,9.401833941367e-13,1.0675e-13,1.3962e-14,0
-7.00,-4.50,9.401764e-13,9.401764498180e-13,9.401764498181e-13,1.0375e-13,6.6588e-15,0
-7.00,-4.00,9.401763e-13,9.401059359203e-13,9.401059359204e-13,7.4807e-05,7.4807e-05,0
-7.00,-3.50,9.401774e-13,9.400739636456e-13,9.400739636457e-13,1.1001e-04,1.1001e-04,0
-7.00,-3.00,9.401694e-13,9.401694114972e-13,9.401694114973e-13,1.0847e-13,1.7184e-15,0
-7.00,-2.50,9.401701e-13,9.401700607972e-13,9.401700607973e-13,9.6875e-14,9.2364e-15,0
-7.00,-2.00,9.401761e-13,9.401761442873e-13,9.401761442874e-13,1.0740e-13,4.9404e-15,0
-7.00,-1.50,9.401768e-13,9.401768329039e-13,9.401768329040e-13,1.0246e-13,1.0740e-15,0
-7.00,-1.00,9.401765e-13,9.401765321927e-13,9.401765321928e-13,1.0267e-13,1.4821e-14,0
-7.00,-0.50,9.401841e-13,9.401841163284e-13,9.401841163285e-13,1.0117e-13,1.1169e-14,0
