path,lines,h1,meta_block,frontmatter,upstream_pointer,dates,task_ids,commit_sha,sha256,history_narrative,dangling_links,unregistered_index,unreadable
docs/algorithms/NOISE_ESTIMATION.md,302,Noise Estimation Algorithms (ALG-NOISE),False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE2_COVERAGE.md,414,Phase2 Coverage Union Algorithms (ALG-COV-001),False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE2_INTEGRATION.md,349,Phase2 Integration Algorithms（P2-INT / astrocs.p2.integration）,False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE2_MOSAIC_WRITE.md,530,Phase2 HiPS Mosaic Write Algorithms (ALG-P2-HIPS-001..004),False,False,True,[],[],[],True,[],[],False,
docs/algorithms/PHASE2_REJECTION.md,810,Phase2 Rejection Algorithms（P2-REJ / astrocs.p2.rejection）,False,False,True,[211],[],['712cc7c3fdb523643ad0e685104592d511996f82'],False,"[789, 809]",[],False,
docs/algorithms/PHASE2_SAMPLER.md,650,Phase2 Sampler Algorithms（P2-SAMP / astrocs.p2.sampling）,False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE2_SESSION.md,413,Phase2 Session Assembly（P2-SESSION / astrocs.p2.session）,False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE2_UPM_IMPL.md,530,Phase2 UPM Fit/Apply Algorithms（P2-UPM / astrocs.p2.upm）,False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PHASE3_FITS_IMPL.md,442,Phase3 FITS Write-out Algorithms（P3-FITS / astrocs.p3.fits_writer）,False,False,True,[],[],[],True,[],[],False,
docs/algorithms/PHASE3_PROJ_IMPL.md,668,Phase3 Projection/WCS 实现级算法合同（ALG-P3-PROJ-IMPL-001）,False,False,True,[647],[],['562d9f74'],True,[],"['lib/algorithms/projection/p3_proj_v6.h/.cpp', 'lib/algorithms/projection/p3_projection.h/.cpp']",False,
docs/algorithms/PHASE3_RESAMPLE.md,202,Phase3 HiPS→FITS Resample Algorithms (ALG-P3),False,False,True,[],"['A-209', 'F-201']",[],False,[],[],False,
docs/algorithms/PHASE3_RSMP_IMPL.md,425,Phase3 HiPS Resample 实现级算法合同（ALG-P3-RSMP-IMPL-001）,False,False,True,[16],[],[],False,[],[],False,
docs/algorithms/PHOTOMETRIC_FIT.md,316,Photometric Fit Algorithms (ALG-PHOT),False,False,True,[],[],[],False,[],[],False,
docs/algorithms/PLATESOLVE.md,381,WCS / PlateSolve Algorithms (ALG-WCS),False,False,True,[],"['F-01', 'F-06']",[],False,[],['1-based'],False,
docs/algorithms/REJECTION_ALGORITHMS.md,207,Rejection Algorithms (ALG-REJ),False,False,True,[55],[],['712cc7c3fdb523643ad0e685104592d511996f82'],False,[],[],False,
docs/algorithms/STAR_DETECTION_ALGORITHMS.md,437,Star Detection Algorithms (ALG-STARDET-001),False,False,True,[],[],[],False,[333],[],False,
docs/algorithms/STAR_PSF_ALGORITHMS.md,245,PSF Algorithms (ALG-PSF),False,False,True,[],[],['f7fa3160'],False,[],[],False,
docs/algorithms/UPM_SOLVER.md,137,UPM Solver Algorithms (ALG-UPM),False,False,True,[],[],[],True,[],[],False,
docs/algorithms/anchors/ANCHOR_CONTRACT.md,166,ALG/SCI 源码行号锚合同（ANCHOR CONTRACT）,False,False,True,[],['FIX-01'],[],False,"[9, 105, 148, 155]",[],False,
docs/algorithms/anchors/anchor_contract.json,478,,False,False,False,[],[],[],False,[],[],False,
docs/algorithms/anchors/check_doc_line_anchors.py,483,-*- coding: utf-8 -*-,False,False,False,[],['FIX-01'],[],False,[],[],False,
docs/algorithms/anchors/unresolved_registry.json,221,,False,False,False,[],['FIX-01'],[],False,"[16, 18, 24, 26, 32, 34, 90, 98, 106, 114, 122, 130, 136, 138, 144, 146, 152, 154, 160, 162]",[],True,
docs/api/CLI_PROTOCOL_V1.md,168,Astro Celestial Sphere Database（ACSD） CLI 协议合同 v1（API-002 冻结）,False,False,True,[134],[],[],True,[],[],False,
docs/api/COMMON_ABI_V1.md,86,Astro Celestial Sphere Database（ACSD） 公共 C ABI 基础层 v1 (Common Foundation — API-001 冻结),False,False,True,[],[],[],False,[],[],False,
docs/api/MANIFEST_VERIFY_V1.md,81,Astro Celestial Sphere Database（ACSD） run manifest 与 verify 合同 v1 (CLI-003 冻结),False,False,True,[],['REL-002'],[],True,[],[],False,
docs/api/PHASE1_API_V1.md,50,Phase1 API 定义 v1 (API-003 冻结 — 逐函数 create/validate/run/inspect),False,False,True,[],[],[],False,[],['校准→检测/PSF→plate'],False,
docs/api/PHASE2_API_V1.md,55,Phase2 API 定义 v1 (API-004 冻结 — 数据所有权/thread budget/逐函数),False,False,True,[],[],[],False,[],[],False,
docs/api/PHASE3_API_V1.md,63,Phase3 API 定义 v1 (API-005 冻结 — request/result/HiPS source/WCS output/sampler/coverage/FITS),False,False,True,[],[],[],True,[],[],False,
docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md,311,DATA-002 三阶段产品交换合同（Phase Product Exchange）,False,False,True,[168],[],[],True,[],[],False,
docs/interfaces/data/DATA-003_PRODUCTION_ARTIFACT_STORE.md,107,DATA-003 生产 ArtifactStore 接线（设计权威）,False,False,True,[],[],[],True,[],[],False,
docs/interfaces/data/DATA-004_PRODUCT_PROVENANCE.md,165,DATA-004 产物溯源与版本语义（Product Provenance）,False,False,True,[],[],[],True,[],[],False,
docs/interfaces/io/IO_001_FITS_STREAM_INTERFACE.md,206,IO-001 FITS 流式接口冻结合同,False,False,True,[],[],[],False,[],['lib/infrastructure/aio/io/include/astrocs/io/io_module_api_v1.h'],False,
docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md,303,IO-002 HiPS 输入读取接口冻结合同,False,False,True,[],[],[],False,[],[],False,
docs/interfaces/io/IO_003_ATOMIC_OUTPUT_PUBLISH.md,186,IO-003 原子 HiPS/manifest 输出发布冻结合同,False,False,True,[135],[],[],True,[],[],False,
docs/modules/MODULE_MAP.yaml,931,ACSD 模块一致性映射表（MOD-001 / CHK-MODULE-MANIFEST）,False,False,True,"[738, 775, 847, 859]","['FIX-404', 'RELEASE-04', 'RELEASE-05']",[],False,[],[],False,
docs/modules/acr.md,53,Module: acr,False,False,True,[],[],[],False,[],[],False,
docs/modules/astro_image_io.md,82,Module: astro_image_io,False,False,True,[],[],[],False,[],[],False,
docs/modules/calibration.md,120,Module: calibration,False,False,True,[],[],['c5629be6'],False,[],[],False,
docs/modules/common.md,65,Module: common,False,False,True,[],[],[],True,[],[],False,
docs/modules/dynamic_psf.md,51,Module: dynamic_psf,False,False,True,[],[],[],False,[],[],False,
docs/modules/gaia_xpsd_client.md,87,Module: gaia_xpsd_client（astrocs.catalog.gaia / CAT-GAIA）,False,False,True,[],[],[],False,[],[],False,
docs/modules/healpix_browser_qt.md,47,Module: healpix_browser_qt,False,False,True,[],[],[],False,[],[],False,
docs/modules/healpix_drizzle.md,99,Module: healpix_drizzle,False,False,True,[],[],[],False,[],[],False,
docs/modules/hips_p2.md,70,astrocs.p2.hips_writer — Phase2 HiPS 马赛克写出模块（P2-HIPS）,False,False,True,[],[],[],True,[],[],False,
docs/modules/orchestrator.md,89,Module: orchestrator,False,False,True,[],[],[],False,[],"['lib/infrastructure/scheduler/src/{pipeline,artifact,artifact_store}.cpp']",False,
docs/modules/phase1_session.md,69,Module: phase1_session,False,False,True,[],[],[],False,[],[],False,
docs/modules/phase2.md,106,Module: phase2,False,False,True,[],[],[],False,[],[],False,
docs/modules/phase2_int.md,72,astrocs.p2.integration — Phase2 逐像素加权积分模块页（P2-INT）,False,False,True,[],[],[],False,[],[],False,
docs/modules/phase2_rej.md,191,模块 astrocs.p2.rejection,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/phase2_samp.md,192,模块 astrocs.p2.sampling,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
