path,size_bytes,sha256,license_hint
lib/astro_image_io/third_party/cfitsio/config/test-driver,5220,f5031431dfc824ee2f012950aef35530e5acf3eb412421c8050662b616deaded,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/configure,783052,a311a0800ca927201fc31a6e5b8b0a92e56fc203244abe8fb6eb67ff04311157,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/configure.ac,19103,803d79de8f110ab34fec03e29688750c53118e590bd6d197eb41e8906b11e577,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/cfitsio.pdf,1098243,d70244f7bf1e949cb0e0fc182326f0dc5c9f62e58ccfc148bdf78c7266542d64,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/cfitsio.tex,522861,b0cd44bcecb909597c11cbebac5151c38282b66ae25340181958d1deeb19be9c,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/cfortran.doc,95483,05d5faa054bdbfe911937c8dfda9cd849878198b114da974d85c241fc068404a,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/fitsio.pdf,645971,2f235cb64077909701a9aeb4a1a391054d43dcbc5ce4434a9799f1b85aa68522,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/fitsio.tex,355023,5dc17429de8ec3c3b4b74e93fd779fc3e2ce412120276e30de803f47a646cda6,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/fpackguide.md,37269,ba5c781ad6c7f81e23c11b8426d28be0af76f1bc2a6680385df4fc54c5eb39de,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/fpackguide.pdf,140520,94e0063ea112d4d965b85a5cacab9e55ce9e03c0b08e00192a1064b2d91ac4d4,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/quick.pdf,218321,ae64eab60f60b66bdccbabbc6f9f233d7be873f0a3974e39989929b04f47def5,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/docs/quick.tex,101490,9e3aac550bd03ab6f2dba6c37e503223b11ac41521e64e1d2660090db380acfb,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrfile.c,32179,df1c54c2004e53dad2251c5f2ec1d482282063f2efe6ce6937fc3e2e4a7524c5,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrfile.o,15000,51c2e96915aa72a6f46297a5dd95841c30fa5ec80e57b680a4a1e6f0ba4c7d4e,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrgsiftp.c,14212,21c7ec0d5aa8774f940013f02f913005b975c3a49b9254d4bff1b712bbe70077,cfitsio (NASA)
