path,module,status,rc,elapsed_sec,findings,errors
lib/acr/api/event.cpp,acr,PASS,0,1.03,0,
lib/acr/api/kernel_registry.cpp,acr,PASS,0,1.36,0,
lib/acr/backends/classic/classic_kernels.cpp,acr,PASS,0,3.31,0,
lib/acr/backends/classic/classic_kernels.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cpu/isa/avx.cpp,acr,PASS,0,1.32,0,
lib/acr/backends/cpu/isa/avx2.cpp,acr,PASS,0,1.32,0,
lib/acr/backends/cpu/isa/avx512.cpp,acr,PASS,0,1.32,0,
lib/acr/backends/cpu/isa/dispatch.cpp,acr,PASS,0,0.72,0,
lib/acr/backends/cpu/isa/isa_kernels.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cpu/isa/scalar.cpp,acr,PASS,0,0.75,0,
lib/acr/backends/cpu/isa/sse.cpp,acr,PASS,0,1.32,0,
lib/acr/backends/cuda/bridge/acr_cuda_bridge.h,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cuda/bridge/acr_cuda_bridge_host.cpp,acr,EXCEPTION,-3,0.36,0,CUDA_RUNTIME_DEP: 需 nvcc toolchain; alternate=nvcc compile (toolchain PASS) + manual review
lib/acr/backends/cuda/bridge/acr_cuda_bridge_kernels.cu,acr,EXCEPTION,-3,0.0,0,CUDA_NEEDS_NVCC: clang22 不支持 CUDA 11.8; alternate=nvcc compile (toolchain build PASS) + manual review
lib/acr/backends/cuda/bridge/cuda_bridge_api.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cuda/cuda_backend.cu,acr,EXCEPTION,-3,0.0,0,CUDA_NEEDS_NVCC: clang22 不支持 CUDA 11.8; alternate=nvcc compile (toolchain build PASS) + manual review
lib/acr/backends/cuda/cuda_backend.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cuda/cuda_bridge_loader.cpp,acr,PASS,0,7.76,0,
lib/acr/backends/cuda/cuda_buffer.cpp,acr,PASS,0,0.04,0,
lib/acr/backends/cuda/cuda_buffer.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/backends/cuda/cuda_executor.cpp,acr,PASS,0,0.04,0,
lib/acr/backends/cuda/cuda_executor.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/core/runtime.cpp,acr,PASS,0,9.48,0,
lib/acr/core/task_descriptor.cpp,acr,PASS,0,2.95,0,
lib/acr/core/task_descriptor.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/cost/cost_estimator.cpp,acr,PASS,0,4.55,0,
lib/acr/cost/cost_estimator.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/diagnostics/hardware_report.cpp,acr,PASS,0,0.95,0,
lib/acr/examples/cuda_axpy.cu,acr,EXCEPTION,-3,0.0,0,CUDA_NEEDS_NVCC: clang22 不支持 CUDA 11.8; alternate=nvcc compile (toolchain build PASS) + manual review
lib/acr/examples/legacy_chunk_adapter.cpp,acr,PASS,0,1.0,0,
lib/acr/examples/minimal_parallel_for.cpp,acr,PASS,0,2.53,0,
lib/acr/examples/weighted_integration/route_profile_calibration.cpp,acr,PASS,0,11.17,0,
lib/acr/examples/weighted_integration/route_profile_calibration.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/examples/weighted_integration/weighted_integration_benchmark.cpp,acr,PASS,0,17.38,0,
