dq_id,dataset,candidate,original_bytes,compressed_bytes,compression_ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,cpu_ms,peak_rss_kb,repeats,verified,extra_value1,extra_value2,extra_note
DQ-003,edge_30,ZSTD,8192,7354,1.1140,0.021,0.009,366.78,908.43,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,RLE,8192,16164,0.5068,0.001,0.000,13020.83,26041.67,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,edge_30,RLE+LZ4,8192,13979,0.5860,0.019,0.003,413.36,2332.09,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RAW(bit-packed),8192,8192,1.0000,0.001,0.000,15625.00,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,LZ4,8192,5515,1.4854,0.011,0.004,710.23,2170.14,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,ZSTD,8192,3220,2.5441,0.069,0.022,113.14,356.74,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RLE,8192,9000,0.9102,0.000,0.000,19531.25,39062.50,0.000,8216,10,true,0.0000,0.0000,""
DQ-003,sparse_5,RLE+LZ4,8192,6340,1.2921,0.013,0.004,600.96,1816.86,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+RAW,262144,262144,1.0000,0.068,0.005,3698.22,50505.05,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+LZ4,262144,263157,0.9962,0.077,0.006,3255.21,43103.45,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,uint32-raw+ZSTD,262144,161418,1.6240,0.616,0.166,405.88,1503.31,1.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+LZ4,262144,1042,251.5777,0.071,0.014,3523.61,18181.82,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+ZSTD,262144,37,7084.9730,0.206,0.019,1210.95,12820.51,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+RAW,262144,65536,4.0000,0.012,0.001,20576.13,227272.73,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+LZ4,262144,268,978.1493,0.020,0.004,12254.90,58139.53,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,large_full,delta+varint+ZSTD,262144,20,13107.2000,0.149,0.006,1683.50,38759.69,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+RAW,209712,209712,1.0000,0.057,0.004,3487.31,51281.27,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+LZ4,209712,210516,0.9962,0.074,0.004,2715.51,45453.85,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,uint32-raw+ZSTD,209712,128919,1.6267,0.390,0.128,513.27,1565.53,1.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,delta+LZ4,209712,42708,4.9104,0.202,0.052,991.31,3849.80,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,delta+ZSTD,209712,14612,14.3520,0.560,0.172,357.17,1164.80,1.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,delta+varint+RAW,209712,52428,4.0000,0.002,0.001,133331.30,249996.19,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,delta+varint+LZ4,209712,25219,8.3156,0.067,0.033,2989.49,5987.93,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,center_80,delta+varint+ZSTD,209712,10256,20.4477,0.153,0.061,1305.46,3294.84,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,uint32-raw+RAW,78640,78640,1.0000,0.002,0.001,34882.30,57689.96,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,uint32-raw+LZ4,78640,78950,0.9961,0.017,0.002,4347.65,45452.70,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,uint32-raw+ZSTD,78640,49027,1.6040,0.211,0.041,355.77,1824.74,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,delta+LZ4,78640,27031,2.9093,0.073,0.017,1021.06,4373.00,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,delta+ZSTD,78640,14194,5.5404,0.333,0.093,225.45,806.42,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,delta+varint+RAW,78640,19660,4.0000,0.001,0.000,124994.91,249989.83,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,delta+varint+LZ4,78640,15051,5.2249,0.028,0.009,2697.73,8823.17,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,edge_30,delta+varint+ZSTD,78640,8445,9.3120,0.126,0.025,597.11,2981.99,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,uint32-raw+RAW,13104,13104,1.0000,0.000,0.000,31242.37,62484.74,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,uint32-raw+LZ4,13104,13157,0.9960,0.002,0.000,6942.75,41656.49,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,uint32-raw+ZSTD,13104,8206,1.5969,0.037,0.021,339.13,606.65,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,delta+LZ4,13104,9425,1.3903,0.021,0.006,586.71,1983.64,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,delta+ZSTD,13104,4021,3.2589,0.047,0.018,268.17,688.54,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,delta+varint+RAW,13104,3282,3.9927,0.000,0.000,62484.74,124969.48,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,delta+varint+LZ4,13104,3296,3.9757,0.001,0.000,13885.50,124969.48,0.000,8216,10,true,0.0000,0.0000,""
DQ-004,sparse_5,delta+varint+ZSTD,13104,2430,5.3926,0.008,0.004,1542.83,2777.10,0.000,8216,10,true,0.0000,0.0000,""
