timestamp,working_set_mb,paged_mem_mb,nonpaged_mb
10:30:22.760,161.88,178.62,0.01
10:30:22.991,324.1,328.62,0.01
10:30:23.206,435.52,463.07,0.01
10:30:23.421,686.74,768.67,0.01
10:30:23.639,814.14,930.48,0.01
10:30:23.852,919.64,1128.21,0.01
10:30:24.069,1205.65,1368.75,0.01
10:30:24.284,1142.4,1291.82,0.01
10:30:24.505,1138.27,1207.12,0.01
10:30:24.715,1321.27,1387.22,0.01
10:30:24.933,1321.79,1387.52,0.01
10:30:25.155,1145.48,1210.86,0.01
10:30:25.378,1321.8,1387.54,0.01
10:30:25.592,1558.66,1624.86,0.01
10:30:25.809,1386.03,1451.88,0.01
10:30:26.023,1562.35,1628.54,0.01
10:30:26.239,1562.36,1628.55,0.01
10:30:26.453,1429.39,1570.55,0.01
10:30:26.671,1504.47,1570.55,0.01
10:30:26.887,1504.47,1570.55,0.01
10:30:27.118,1516.87,1748.55,0.01
10:30:27.333,1680.31,1748.55,0.01
10:30:27.546,1800.72,1867.26,0.01
10:30:27.768,1978.38,2045.27,0.01
10:30:27.980,1861.07,1927.73,0.01
10:30:28.193,1861.07,1927.73,0.01
10:30:28.407,1861.07,1927.73,0.01
10:30:28.621,1861.07,1927.73,0.01
10:30:28.839,499,513.69,0.01
10:30:29.053,321.7,326.32,0.01
PEAK_WORKING_SET_MB=1978.38
EXIT_CODE=0
