file_path,file_name,device_id,master_type,file_size_bytes,sha256,filter_from_filename,exposure_from_filename,bin_from_filename,image_size_from_filename,filter_from_header,exposure_from_header,bin_from_header,image_size_from_header,temp_from_header,pixel_size_from_header,instrument_from_header,filter_match,exposure_match,bin_match,image_size_match,header_parse_error,scanned_at
testdata\T3 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,T3,Flat,67133440,1CFB0C4C20C9E525ABCEC32C99C057662A5C55D542297AC332F448F083C1C6BF,Lum,,1,4096x4096,Lum,2.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.431927Z
testdata\T3 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,T3,Flat,67133440,731F627C5760A2109A7E03C1821AD36E95518B3DB579D211299B9F80B3AEE3BF,Oiii,,1,4096x4096,Oiii,2.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.486232Z
testdata\T3 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,T3,Flat,67133440,F709D97BE3DCEE2D33757EA68C58361EE3B533C987934B3252CBF6304FAE0AC5,Red,,1,4096x4096,Red,2.00,1,,,9,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.540836Z
testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,masterBias_BIN-1_4500x3600.xisf,T4,Bias,64849152,EA14B6F5E471F673751C7E95BFCE8B92F09A135E0DB74AA4D277F3B4683E0D22,,,1,4500x3600,,0.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.591950Z
testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,T4,Dark,64820480,07941CF826A0915B2C87C2BA1529994B65D2BDD31EDBB11998E99CE47C41479B,,180.00,1,4500x3600,,180.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.641924Z
testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,T4,Dark,64820480,436A7626EB5469DAACF16E35FAC4D7791979FFFF539569E3FED9D9BCFCDEFF9B,,300.00,1,4500x3600,,300.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.691258Z
testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,T4,Dark,64820480,D7CB32C412EAFD29988BF190C42A71FB3415AF7A4140A196879FAED4DCBDE3E2,,600.00,1,4500x3600,,600.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.740841Z
testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,T4,Flat,64824576,91FF4AFB5598D3B11A4EDB06D349D95623A6EDF15873C2C58206DA03A14C1E85,Blue,,1,4500x3600,Blue,15.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.789932Z
testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,T4,Flat,64824576,A2D0A76D1480271A20FC1B8C83C596678EA6259ABD303BC92FCE373CEE9CC184,Green,,1,4500x3600,Green,10.53,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.840105Z
testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,T4,Flat,64824576,152CE62C6457DE81D7BDBCE41B28C8153EFC103B2FC60547092A03FFB953927D,,,1,4500x3600,H-alpha,15.00,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.888714Z
testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,T4,Flat,64820480,7E3E038BA95DEA8E0DCA48844FAB5D2406514D60CBCBF74709906DF6D3A1B5B7,Oiii,,1,4500x3600,Oiii,10.28,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.938336Z
testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,T4,Flat,64824576,E3CB759828162F5DAFB42CDC2820698B9F30C0C682551D0E2E8282C2AA49F5DC,Red,,1,4500x3600,Red,6.80,1,,,6,FLI,YES,YES,YES,YES,,2026-07-27T11:38:03.994819Z
